sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Magnesium nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 50";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 50";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 50";"52 – 102";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 50";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 50";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Brass (>15Zn)";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 50";"52 – 192";"<20";"no air, oxygen";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 50";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper/ Bronze/ Low Brass";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 50";"52 – 192";"<20";"no air, oxygen";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Lead";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 15";"52 – 102";">50";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Lead";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"35 – 45";"52 – 102";">50";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 50";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 50";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 50";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 50";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 50";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Nickel (200)";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 50";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
