sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Copper cyanide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"copper cyanide";"cuprous cyanide";"";"544-92-3";"CCuN";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"copper cyanide";"cuprous cyanide";"";"544-92-3";"CCuN";"salts";"1";"recommended";"any";"250";"<6";"16";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"copper cyanide";"cuprous cyanide";"";"544-92-3";"CCuN";"salts";"1";"recommended";"any";"250";"<6";"16";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorinated Polyvinyl Chloride (CPVC)";"";"copper cyanide";"cuprous cyanide";"";"544-92-3";"CCuN";"salts";"1";"recommended";"100";"70 – 212";"";"1, 2";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"copper cyanide";"cuprous cyanide";"";"544-92-3";"CCuN";"salts";"1";"recommended; under 3 years";">10";"75 – 100";">12";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Epoxy Resin, Glass Fiber- Reinforced";"";"copper cyanide";"cuprous cyanide";"";"544-92-3";"CCuN";"salts";"1";"recommended";"5";"70 – 150";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyesters, Glass Fiber-Reinforced";"";"copper cyanide";"cuprous cyanide";"";"544-92-3";"CCuN";"salts";"1";"recommended";"10";"70 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyethylene (PE)";"";"copper cyanide";"cuprous cyanide";"saturated";"544-92-3";"CCuN";"salts";"1";"recommended";"10";"70 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"9";"Polymethyl Methacrylate (PMMA)";"";"copper cyanide";"cuprous cyanide";"";"544-92-3";"CCuN";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"copper cyanide";"cuprous cyanide";"";"544-92-3";"CCuN";"salts";"1";"recommended";"100";"0 – 200";"<1";"11";"";"";"";"";"";"";"";"";"";"";""
"11";"Polypropylene (PP)";"";"copper cyanide";"cuprous cyanide";"saturated";"544-92-3";"CCuN";"salts";"1";"recommended";"10";"60 – 150";"<6";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Polypropylene (PP)";"";"copper cyanide";"cuprous cyanide";"";"544-92-3";"CCuN";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyvinyl Chloride (PVC)";"";"copper cyanide";"cuprous cyanide";"";"544-92-3";"CCuN";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyvinylidene Fluoride (PVDF)";"";"copper cyanide";"cuprous cyanide";"";"544-92-3";"CCuN";"salts";"1";"recommended";"100";"70 – 275";"";"1, 23";"";"";"";"";"";"";"";"";"";"";""
"15";"Vinyl Ester Resins";"";"copper cyanide";"cuprous cyanide";"";"544-92-3";"CCuN";"salts";"1";"recommended";"10";"70 – 250";"";"7";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
