sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethylene glycol monobutyl ether";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Carbon-Graphite Composites";"";"ethylene glycol monobutyl ether";"2-butoxyethanol";"111-76-2";"C6H14O2";"alcohols";"1";"recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Carbon-Graphite Composites";"";"ethylene glycol monobutyl ether";"2-butoxyethanol";"111-76-2";"C6H14O2";"alcohols";"1";"recommended";"100";"70 – 340";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"ethylene glycol monobutyl ether";"2-butoxyethanol";"111-76-2";"C6H14O2";"alcohols";"1";"recommended";"100";"80";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"4";"Epoxy Resin, Glass Fiber- Reinforced";"";"ethylene glycol monobutyl ether";"2-butoxyethanol";"111-76-2";"C6H14O2";"alcohols";"1";"recommended";"100";"70 – 100";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Glass Fiber- Reinforced";"";"ethylene glycol monobutyl ether";"2-butoxyethanol";"111-76-2";"C6H14O2";"alcohols";"2";"questionable";"100";"100 – 150";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"6";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"ethylene glycol monobutyl ether";"2-butoxyethanol";"111-76-2";"C6H14O2";"alcohols";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed; also benzyl";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyesters, Glass Fiber-Reinforced";"";"ethylene glycol monobutyl ether";"2-butoxyethanol";"111-76-2";"C6H14O2";"alcohols";"1";"recommended";"100";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyethylene (PE)";"";"ethylene glycol monobutyl ether";"2-butoxyethanol";"111-76-2";"C6H14O2";"alcohols";"1";"recommended";"100";"75 – 125";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"9";"Vinyl Ester Resins";"";"ethylene glycol monobutyl ether";"2-butoxyethanol";"111-76-2";"C6H14O2";"alcohols";"1";"recommended";"100";"70 – 100";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
