sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Copper ammonium acetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"copper ammonium acetate";"salts";"75 – 85";"175 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"copper ammonium acetate";"salts";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"copper ammonium acetate";"salts";"5 – 15";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"copper ammonium acetate";"salts";"75 – 85";"175 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"copper ammonium acetate";"salts";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Nickel (200)";"copper ammonium acetate";"salts";"5 – 15";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Nickel (200)";"copper ammonium acetate";"salts";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Nickel-Copper (400)";"copper ammonium acetate";"salts";"5 – 15";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Nickel-Copper (400)";"copper ammonium acetate";"salts";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Ni-Cr-Fe Alloy (600/ 690)";"copper ammonium acetate";"salts";"5 – 15";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Ni-Cr-Fe Alloy (600/ 690)";"copper ammonium acetate";"salts";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Ni-Mo Alloy (Ni-30Mo; B-2)";"copper ammonium acetate";"salts";"5 – 15";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Ni-Mo Alloy (Ni-30Mo; B-2)";"copper ammonium acetate";"salts";"75 – 85";"175 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Ni-Mo Alloy (Ni-30Mo; B-2)";"copper ammonium acetate";"salts";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Silicon Cast Iron (14Si)";"copper ammonium acetate";"salts";"5 – 15";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Silicon Cast Iron (14Si)";"copper ammonium acetate";"salts";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Silver";"copper ammonium acetate";"salts";"5 – 35";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Steels, Carbon/ Low Alloy";"copper ammonium acetate";"salts";"25 – 35";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Steels, Carbon/ Low Alloy";"copper ammonium acetate";"salts";"100";"25 – 175";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
