sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethyl bromide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Brass (>15Zn)";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper/ Bronze/ Low Brass";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper-Nickel";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cr Stainless Steel (12Cr)";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (17Cr)";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Gold/ Platinum";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Lead";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Nickel (200)";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Nickel Cast Iron (15-35Ni)";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Nickel-Copper (400)";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Ni-Cr-Fe Alloy (600/ 690)";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Ni-Mo Alloy (Ni-30Mo; B-2)";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Silicon Cast Iron (14Si)";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"52 – 102";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Silver";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Steels, Carbon/ Low Alloy";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Superferritic Stainless Steel (26-1)";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Tantalum";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Titanium, Unalloyed";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Zirconium";"ethyl bromide";"bromoethane";"74-96-4";"C2H5Br";"alkyl halides";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
