sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"26";"Fluororubber";"";"ammonium sulfate";"saturated";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"27";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"28";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";">10";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"29";"Glass, Chemical";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"30";"Glassed Steel";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended; questionable ~1-5% >130°C (266°F)";">10";"50 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Phenolic Resins, Asbestos-Reinforced";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"32";"Polychloroprene";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"33";"Polyesters, Glass Fiber-Reinforced";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"10";"70 – 200";"";"also with 5-20% ferric sulfate";"1";"";"";"";"";"";"";"";"";"";"";""
"34";"Polyesters, Glass Fiber-Reinforced";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";">10";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"35";"Polyethylene (PE)";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"60";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"36";"Polyethylene (PE)";"";"ammonium sulfate";"saturated";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"70";"60 – 70";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"37";"Polyethylene (PE)";"";"ammonium sulfate";"saturated";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"38";"Polymethyl Methacrylate (PMMA)";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"39";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";""
"40";"Polypropylene (PP)";"";"ammonium sulfate";"saturated";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";">10";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"41";"Polypropylene (PP)";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"100";"60 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"42";"Polyvinyl Chloride (PVC)";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"43";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"100";"125";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"44";"Polyvinylidene Fluoride (PVDF)";"Kynar";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"100";"70 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"45";"Rubber, Butyl (BR)";"";"ammonium sulfate";"saturated";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"46";"Rubber, Natural (NR)";"";"ammonium sulfate";"saturated";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"47";"Rubber, Natural (NR)";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"3";"not recommended";">10";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"48";"Vinyl Ester Resins";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";">10";"70 – 250";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"49";"Wood";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"3";"not recommended";"10 – 90";"60 – 70";"";"fire hazard if dry, persulfate";"1";"";"";"";"";"";"";"";"";"";"";""
"50";"Wood";"";"ammonium sulfate";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
