sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Barium sulfide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"barium sulfide";"";"21109-95-5";"BaS";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorosulfonated Polyethylene";"";"barium sulfide";"";"21109-95-5";"BaS";"salts";"1";"recommended";"10 – 90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Epoxy Resin, Glass Fiber- Reinforced";"";"barium sulfide";"saturated";"21109-95-5";"BaS";"salts";"1";"recommended";"100";"70 – 250";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"4";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"barium sulfide";"";"21109-95-5";"BaS";"salts";"1";"recommended";"100";"70 – 90";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"barium sulfide";"";"21109-95-5";"BaS";"salts";"1";"recommended";">10";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Nylon";"";"barium sulfide";"";"21109-95-5";"BaS";"salts";"1";"recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyesters, Glass Fiber-Reinforced";"";"barium sulfide";"";"21109-95-5";"BaS";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyethylene (PE)";"";"barium sulfide";"";"21109-95-5";"BaS";"salts";"1";"recommended";"10";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyethylene (PE)";"";"barium sulfide";"";"21109-95-5";"BaS";"salts";"1";"recommended";"100";"70 – 80";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyethylene (PE)";"";"barium sulfide";"saturated";"21109-95-5";"BaS";"salts";"1";"recommended";"100";"80 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"11";"Polymethyl Methacrylate (PMMA)";"";"barium sulfide";"";"21109-95-5";"BaS";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Polypropylene (PP)";"";"barium sulfide";"saturated";"21109-95-5";"BaS";"salts";"1";"recommended";">10";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Polypropylene (PP)";"";"barium sulfide";"";"21109-95-5";"BaS";"salts";"1";"recommended";"100";"60 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyvinyl Chloride (PVC)";"";"barium sulfide";"";"21109-95-5";"BaS";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"barium sulfide";"";"21109-95-5";"BaS";"salts";"1";"recommended";"100";"150";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyvinylidene Fluoride (PVDF)";"Kynar";"barium sulfide";"";"21109-95-5";"BaS";"salts";"1";"recommended";"100";"70 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"17";"Vinyl Ester Resins";"";"barium sulfide";"";"21109-95-5";"BaS";"salts";"1";"recommended";">10";"70 – 180";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
