sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Gasoline";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"gasoline";"petroleum product";"fuels";"1";"recommended";"100";"70 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"gasoline";"petroleum product";"fuels";"1";"recommended; not recommended for well-head, with or without hydrogen sulfide";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"gasoline";"petroleum product";"fuels";"2";"questionable";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"gasoline";"petroleum product";"fuels";"2";"questionable; weight gain ";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate";"";"gasoline";"petroleum product";"fuels";"3";"not recommended; weight loss";"100";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Cellulose Acetate Butyrate";"";"gasoline";"petroleum product";"fuels";"1";"recommended; weight gain";"100";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"gasoline";"petroleum product";"fuels";"1";"recommended";"100";"190";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorinated Polyvinyl Chloride (CPVC)";"";"gasoline";"petroleum product";"fuels";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorinated Polyvinyl Chloride (CPVC)";"";"gasoline";"petroleum product";"fuels";"3";"not recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorosulfonated Polyethylene";"";"gasoline";"petroleum product";"fuels";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"gasoline";"petroleum product";"fuels";"1";"recommended; over 3 years";">10";"50 – 200";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Resin, Glass Fiber- Reinforced";"";"gasoline";"petroleum product";"fuels";"1";"recommended";"100";"70 – 250";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"gasoline";"petroleum product";"fuels";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed; also with casing or well-head gasoline";"1, 22";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Fluororubber";"";"gasoline";"petroleum product";"fuels";"1";"recommended";"100";"60 – 125";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"gasoline";"petroleum product";"fuels";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"gasoline";"petroleum product";"fuels";"1";"recommended";"100";"70 – 200";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Glassed Steel";"";"gasoline";"petroleum product";"fuels";"1";"recommended; questionable ";">10";"50 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Nylon";"";"gasoline";"petroleum product";"fuels";"1";"recommended";"100";"60 – 70";"[>12]";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Nylon";"";"gasoline";"petroleum product";"fuels";"3";"not recommended; weight loss ";"100";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Phenolic Resins, Asbestos-Reinforced";"";"gasoline";"petroleum product";"fuels";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
