sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium fluoride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"sodium fluoride";"";"7681-49-4";"FNa";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Cellulose Acetate";"";"sodium fluoride";"";"7681-49-4";"FNa";"salts";"3";"not recommended; weight gain";"4";"60 – 70";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Cellulose Acetate Butyrate";"";"sodium fluoride";"";"7681-49-4";"FNa";"salts";"3";"not recommended; weight gain";"4";"60 – 70";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorinated Polyvinyl Chloride (CPVC)";"";"sodium fluoride";"";"7681-49-4";"FNa";"salts";"1";"recommended";"100";"70 – 212";"";"1, 12";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Glass Fiber- Reinforced";"";"sodium fluoride";"";"7681-49-4";"FNa";"salts";"1";"recommended";"100";"70 – 250";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Glassed Steel";"";"sodium fluoride";"";"7681-49-4";"FNa";"salts";"3";"not recommended";"any";"0 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyethylene (PE)";"";"sodium fluoride";"saturated";"7681-49-4";"FNa";"salts";"1";"recommended";"100";"70 – 150";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polymethyl Methacrylate (PMMA)";"";"sodium fluoride";"";"7681-49-4";"FNa";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polypropylene (PP)";"";"sodium fluoride";"saturated";"7681-49-4";"FNa";"salts";"1";"recommended";"10 – 60";"60 – 150";"<6";"1";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polypropylene (PP)";"";"sodium fluoride";"";"7681-49-4";"FNa";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyvinyl Chloride (PVC)";"";"sodium fluoride";"";"7681-49-4";"FNa";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyvinylidene Fluoride (PVDF)";"Kynar";"sodium fluoride";"";"7681-49-4";"FNa";"salts";"1";"recommended";"100";"70 – 285";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Styrene Acrylonitrile Copolymer (SAN)";"";"sodium fluoride";"";"7681-49-4";"FNa";"salts";"1";"recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
