sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Lithium chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"<60";"239";"<2";"";"67,182,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"5 – 15";"225 – 275";"<2";"";"67,182,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"35 – 45";"225 – 275";"<2";"";"67,182,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-6Mo (254SMO/ 6XN)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"<60";"239";"<2";"";"67,182,210";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"<60";"239";"<2";"";"67,182,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"lithium chloride";"7447-41-8";"ClLi";"salts";"pitting";"5 – 45";"225 – 250";">50";"";"67,182,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"5 – 45";"250 – 275";">50";"older alloy";"67,182,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"<60";"239";"<2";"";"67,182,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"lithium chloride";"7447-41-8";"ClLi";"salts";"pitting";"5 – 45";"225 – 250";">50";"";"67,182,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 30-44-5-3W (G-30)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"5 – 45";"250 – 275";">50";"older alloy";"67,182,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Aluminum Alloy (3003/ 5154)";"lithium chloride";"7447-41-8";"ClLi";"salts";"pitting; stress corrosion cracking";"5 – 25";"25 – 275";"<20";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Aluminum Alloy (3003/ 5154)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"25 – 35";"25 – 275";"<2";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Aluminum Alloy (3003/ 5154)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"35 – 45";"25 – 275";"<20";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Aluminum Alloy (3003/ 5154)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"45 – 95";"25 – 275";">50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"5 – 15";"25 – 275";"<2";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"15 – 25";"25 – 275";"<20";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"25 – 95";"25 – 275";">50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"5 – 35";"25 – 275";"<2";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
