sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Turpentine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"turpentine";"";"solvents";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"turpentine";"";"solvents";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"turpentine";"";"solvents";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate";"";"turpentine";"";"solvents";"1";"recommended";"100";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate Butyrate";"";"turpentine";"";"solvents";"3";"not recommended; softened, 12 months, 21°C (70°F)";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"turpentine";"pure gum";"solvents";"1";"recommended";"100";"120";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorinated Polyvinyl Chloride (CPVC)";"";"turpentine";"";"solvents";"1";"recommended";"100";"60 – 70";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorosulfonated Polyethylene";"";"turpentine";"";"solvents";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Concrete";"";"turpentine";"";"solvents";"3";"not recommended";"100";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"turpentine";"";"solvents";"1";"recommended";">10";"75 – 150";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Resin, Glass Fiber- Reinforced";"";"turpentine";"";"solvents";"1";"recommended";"100";"70 – 80";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Resin, Glass Fiber- Reinforced";"";"turpentine";"";"solvents";"3";"not recommended";"100";"80 – 150";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"turpentine";"";"solvents";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Fluororubber";"";"turpentine";"";"solvents";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
