sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium bromide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"sodium bromide";"7647-15-6";"BrNa";"salts";"pitting";"5 – 25";"25 – 75";"<2";"84,194,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"15 – 25";"25 – 175";"<2";"84,194,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"20";"176";"<2";"84,194,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"5 – 55";"25 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"5 – 55";"25 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"sodium bromide";"7647-15-6";"BrNa";"salts";"pitting";"5 – 15";"25 – 75";"20 – 50";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"35 – 45";"25 – 75";">50";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium bromide";"7647-15-6";"BrNa";"salts";"pitting; stress corrosion cracking";"5 – 15";"25 – 75";"<2";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"15 – 25";"125 – 175";">50";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"15 – 45";"175 – 225";"<2";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"45 – 55";"125 – 175";">50";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium bromide";"7647-15-6";"BrNa";"salts";"pitting; stress corrosion cracking";"5 – 55";"25 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Brass (>15Zn)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"5 – 15";"25 – 75";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Copper/ Bronze/ Low Brass";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"5 – 55";"25 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Copper/ Bronze/ Low Brass";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"100";"25 – 75";"20 – 50";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cr Stainless Steel (12Cr)";"sodium bromide";"7647-15-6";"BrNa";"salts";"pitting";"5 – 15";"25 – 75";"20 – 50";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Cr Stainless Steel (12Cr)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"25 – 35";"25 – 75";">50";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cr Stainless Steel (17Cr)";"sodium bromide";"7647-15-6";"BrNa";"salts";"pitting";"5 – 15";"25 – 75";"<2";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cr Stainless Steel (17Cr)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"15 – 25";"125 – 175";"<2";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Cr Stainless Steel (17Cr)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"25 – 35";"25 – 75";">50";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Lead";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"5 – 55";"25 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
