sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Barium chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"barium chloride";"10361-37-2";"BaCl2";"salts";"pitting; stress corrosion cracking";"5 – 15";"25 – 225";"<2";"17,163,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"barium chloride";"10361-37-2";"BaCl2";"salts";"";"23 – 25";"25 – 225";"<2";"17,163,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"barium chloride";"10361-37-2";"BaCl2";"salts";"pitting";"5 – 15";"25 – 225";"<2";"17,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"barium chloride";"10361-37-2";"BaCl2";"salts";"";"25";"25 – 225";"<2";"17,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"barium chloride";"10361-37-2";"BaCl2";"salts";"pitting";"5 – 15";"25 – 225";"<2";"17,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"barium chloride";"10361-37-2";"BaCl2";"salts";"";"25";"25 – 225";"<2";"17,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"barium chloride";"10361-37-2";"BaCl2";"salts";"";"5 – 25";"25 – 225";"<20";"17,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"barium chloride";"10361-37-2";"BaCl2";"salts";"pitting; stress corrosion cracking";"5 – 15";"25 – 225";"<2";"17,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"barium chloride";"10361-37-2";"BaCl2";"salts";"";"25";"25 – 225";"<2";"17,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"barium chloride";"10361-37-2";"BaCl2";"salts";"pitting; stress corrosion cracking";"5 – 15";"25 – 225";"<2";"17,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"barium chloride";"10361-37-2";"BaCl2";"salts";"";"25";"25 – 225";"<2";"17,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Brass (>15Zn)";"barium chloride";"10361-37-2";"BaCl2";"salts";"";"5 – 15";"25 – 225";"<20";"17,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cast Iron, Gray/ Ductile";"barium chloride";"10361-37-2";"BaCl2";"salts";"";"5 – 15";"175 – 225";">50";"17,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cast Iron, Gray/ Ductile";"barium chloride";"10361-37-2";"BaCl2";"salts";"";"25";"25 – 75";">50";"17,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Copper/ Bronze/ Low Brass";"barium chloride";"10361-37-2";"BaCl2";"salts";"";"5 – 15";"25 – 225";"<20";"17,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Copper-Nickel";"barium chloride";"10361-37-2";"BaCl2";"salts";"";"5 – 15";"25 – 225";"<20";"17,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Cr Stainless Steel (12Cr)";"barium chloride";"10361-37-2";"BaCl2";"salts";"pitting";"5 – 15";"25 – 75";"20 – 50";"17,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cr Stainless Steel (12Cr)";"barium chloride";"10361-37-2";"BaCl2";"salts";"";"5 – 15";"175 – 225";">50";"17,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
