sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chlorine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"chlorine";"";"7782-50-5";"Cl2";"3";"not recommended";"<5";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"chlorine";"";"7782-50-5";"Cl2";"3";"not recommended";"100";"60 – 70";"";"liquid, no water";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"chlorine";"";"7782-50-5";"Cl2";"3";"not recommended";"1 – 5";"60 – 70";"";"saturated";"1";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"chlorine";"";"7782-50-5";"Cl2";"3";"not recommended";"100";"60 – 70";"";"no water, wet, liquid";"1";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Carbon-Graphite Composites";"";"chlorine";"";"7782-50-5";"Cl2";"1";"recommended";"10 – 90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Carbon-Graphite Composites";"";"chlorine";"";"7782-50-5";"Cl2";"1";"recommended";"100";"60 – 70";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cellulose Acetate";"";"chlorine";"saturated";"7782-50-5";"Cl2";"3";"not recommended";"10";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cellulose Acetate";"";"chlorine";"";"7782-50-5";"Cl2";"3";"not recommended; embrittled/weight gain 21°C (70°F)";"100";"60 – 70";"";"no water, wet";"1";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cellulose Acetate Butyrate";"";"chlorine";"saturated";"7782-50-5";"Cl2";"3";"not recommended";"90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cellulose Acetate Butyrate";"";"chlorine";"";"7782-50-5";"Cl2";"3";"not recommended; embrittled; weight gain; crazes";">90";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
