sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Aminoethylethanolamine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"aminoethylethanolamine";"amines";"";"100";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"aminoethylethanolamine";"amines";"";"5 – 25";"125 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"aminoethylethanolamine";"amines";"";">5";"25 – 125";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"aminoethylethanolamine";"amines";"";"100";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Brass (>15Zn)";"aminoethylethanolamine";"amines";"severe corrosion with oxygen ingress";"";"0";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Copper/ Bronze/ Low Brass";"aminoethylethanolamine";"amines";"severe corrosion with oxygen ingress";"100";"25 – 75";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Copper-Nickel";"aminoethylethanolamine";"amines";"severe corrosion with oxygen ingress";"";"0";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cr Stainless Steel (12Cr)";"aminoethylethanolamine";"amines";"";"5 – 15";"25 – 175";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cr Stainless Steel (12Cr)";"aminoethylethanolamine";"amines";"";"5 – 15";"175 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Cr Stainless Steel (12Cr)";"aminoethylethanolamine";"amines";"";"100";"25 – 175";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Cr Stainless Steel (12Cr)";"aminoethylethanolamine";"amines";"";"100";"175 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Cr Stainless Steel (17Cr)";"aminoethylethanolamine";"amines";"";"5 – 15";"25 – 175";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Cr Stainless Steel (17Cr)";"aminoethylethanolamine";"amines";"";"5 – 15";"175 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Cr Stainless Steel (17Cr)";"aminoethylethanolamine";"amines";"";"100";"25 – 175";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Cr Stainless Steel (17Cr)";"aminoethylethanolamine";"amines";"";"100";"175 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel (200)";"aminoethylethanolamine";"amines";"severe corrosion with oxygen ingress";"5 – 15";"25 – 175";"<20";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Nickel (200)";"aminoethylethanolamine";"amines";"severe corrosion with oxygen ingress";"5 – 15";"175 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel (200)";"aminoethylethanolamine";"amines";"severe corrosion with oxygen ingress";"100";"25 – 175";"<20";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Nickel (200)";"aminoethylethanolamine";"amines";"severe corrosion with oxygen ingress";"100";"175 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Nickel Cast Iron (15-35Ni)";"aminoethylethanolamine";"amines";"";">75";"25 – 125";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Nickel Cast Iron (15-35Ni)";"aminoethylethanolamine";"amines";"";"100";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Nickel-Copper (400)";"aminoethylethanolamine";"amines";"severe corrosion with oxygen ingress";"5 – 15";"25 – 175";"<20";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Nickel-Copper (400)";"aminoethylethanolamine";"amines";"severe corrosion with oxygen ingress";"5 – 15";"175 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Nickel-Copper (400)";"aminoethylethanolamine";"amines";"severe corrosion with oxygen ingress";"100";"25 – 175";"<20";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Nickel-Copper (400)";"aminoethylethanolamine";"amines";"severe corrosion with oxygen ingress";"100";"175 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Ni-Cr-Fe Alloy (600/ 690)";"aminoethylethanolamine";"amines";"";"5 – 15";"25 – 175";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
