sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethylene chlorohydrin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Aluminum Alloy (3003/ 5154)";"ethylene chlorohydrin";"2-chloroethanol";"107-07-3";"C2H5ClO";"alcohols";"possible hazard";"";"0";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ethylene chlorohydrin";"2-chloroethanol";"107-07-3";"C2H5ClO";"alcohols";"";"100";"25 – 125";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ethylene chlorohydrin";"2-chloroethanol";"107-07-3";"C2H5ClO";"alcohols";"";"100";"125 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ethylene chlorohydrin";"2-chloroethanol";"107-07-3";"C2H5ClO";"alcohols";"";"100";"25 – 125";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ethylene chlorohydrin";"2-chloroethanol";"107-07-3";"C2H5ClO";"alcohols";"";"100";"125 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Brass (>15Zn)";"ethylene chlorohydrin";"2-chloroethanol";"107-07-3";"C2H5ClO";"alcohols";"";"100";"25 – 125";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"ethylene chlorohydrin";"2-chloroethanol";"107-07-3";"C2H5ClO";"alcohols";"";"100";"125 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"ethylene chlorohydrin";"2-chloroethanol";"107-07-3";"C2H5ClO";"alcohols";"";"100";"25 – 125";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"ethylene chlorohydrin";"2-chloroethanol";"107-07-3";"C2H5ClO";"alcohols";"";"100";"125 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"ethylene chlorohydrin";"2-chloroethanol";"107-07-3";"C2H5ClO";"alcohols";"";"100";"25 – 125";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
