sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Antimony trichloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Gold/ Platinum";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"5 – 85";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Gold/ Platinum";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";">85";"175 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Gold/ Platinum";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"100";"25 – 75";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Lead";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"5 – 15";"25 – 75";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Lead";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"25 – 35";"25 – 75";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Lead";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"100";"25 – 125";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Lead";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"100";"175 – 225";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Nickel (200)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"5 – 35";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Nickel (200)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"100";"25 – 175";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Nickel (200)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"100";"175 – 225";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Nickel Cast Iron (15-35Ni)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"pitting";"5 – 35";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Nickel Cast Iron (15-35Ni)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"100";"175 – 225";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Nickel-Copper (400)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"100";"25 – 175";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Nickel-Copper (400)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"100";"175 – 225";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Ni-Cr-Fe Alloy (600/ 690)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"pitting";"100";"175 – 225";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Ni-Mo Alloy (Ni-30Mo; B-2)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"5 – 25";"25 – 75";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
