sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Butyl acetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"3";"not recommended";"100";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Cellulose Acetate";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"3";"not recommended; discolored, weight gain";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate Butyrate";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"3";"not recommended; disintegrated";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"1";"recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"1";"recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorinated Polyvinyl Chloride (CPVC)";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"3";"not recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorosulfonated Polyethylene";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Concrete";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"1";"recommended";"100";"60 – 70";"";">7pH; permeable";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Glass Fiber- Reinforced";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"1";"recommended";"100";"70 – 120";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Resin, Glass Fiber- Reinforced";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"2";"questionable";"100";"130 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"12";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"1";"recommended; strength loss; steady state reached in one week exposure";"100";"32 – 200";"<1";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"13";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"2";"questionable";"100";"200 – 235";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"14";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"2";"questionable";"100";"235 – 261";"";"boiling point 127°C (261°F)";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"15";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"1";"recommended";"100";"70 – 90";"";"cyclic immersion; immersed";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"16";"Fluororubber";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"1";"recommended";"10";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Glass, Chemical";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Nylon";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Perfluoroalkoxy Resins";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"1";"recommended; weight gain; strength loss; steady state reached in one week exposure";"100";"32 – 235";"<1";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"22";"Perfluoroalkoxy Resins";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"1";"recommended";"100";"235 – 261";"";"boiling point 127°C (261°F)";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"23";"Phenolic Resins, Asbestos-Reinforced";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"24";"Polychloroprene";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"25";"Polyesters, Glass Fiber-Reinforced";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"26";"Polyethylene (PE)";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"2";"questionable";"100";"60 – 70";"";"swollen; plasticizer";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"27";"Polyethylene (PE)";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"3";"not recommended";"100";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"28";"Polymethyl Methacrylate (PMMA)";"";"butyl acetate";"";"123-86-4";"C6H12O2";"esters";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"29";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"butyl acetate";"n-butyl acetate";"123-86-4";"C6H12O2";"esters";"1";"recommended";"100";"0 – 176";"<6";"";"11";"";"";"";"";"";"";"";"";"";"";""
