sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Furfuryl alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"furfuryl alcohol";"2-furanmethanol";"98-00-0";"C5H6O2";"alcohols";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"furfuryl alcohol";"2-furanmethanol";"98-00-0";"C5H6O2";"alcohols";"1";"recommended";"100";"100";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorosulfonated Polyethylene";"";"furfuryl alcohol";"2-furanmethanol";"98-00-0";"C5H6O2";"alcohols";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"furfuryl alcohol";"2-furanmethanol";"98-00-0";"C5H6O2";"alcohols";"1";"recommended";"30";"250 – 300";">12";"";"10";"";"";"";"";"";"";"";"";"";"";""
"5";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"furfuryl alcohol";"2-furanmethanol";"98-00-0";"C5H6O2";"alcohols";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Fluororubber";"";"furfuryl alcohol";"2-furanmethanol";"98-00-0";"C5H6O2";"alcohols";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Fluororubber";"";"furfuryl alcohol";"2-furanmethanol";"98-00-0";"C5H6O2";"alcohols";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"furfuryl alcohol";"2-furanmethanol";"98-00-0";"C5H6O2";"alcohols";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"furfuryl alcohol";"2-furanmethanol";"98-00-0";"C5H6O2";"alcohols";"1";"recommended";"100";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Phenolic Resins, Asbestos-Reinforced";"";"furfuryl alcohol";"2-furanmethanol";"98-00-0";"C5H6O2";"alcohols";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Phenolic Resins, Asbestos-Reinforced";"";"furfuryl alcohol";"2-furanmethanol";"98-00-0";"C5H6O2";"alcohols";"3";"not recommended; Haveg 61 recommended ";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Polychloroprene";"";"furfuryl alcohol";"2-furanmethanol";"98-00-0";"C5H6O2";"alcohols";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyesters, Glass Fiber-Reinforced";"";"furfuryl alcohol";"2-furanmethanol";"98-00-0";"C5H6O2";"alcohols";"1";"recommended";"100";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyethylene (PE)";"";"furfuryl alcohol";"2-furanmethanol";"98-00-0";"C5H6O2";"alcohols";"3";"not recommended; may stress crack";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"15";"Rubber, Butyl (BR)";"";"furfuryl alcohol";"2-furanmethanol";"98-00-0";"C5H6O2";"alcohols";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Rubber, Natural (NR)";"";"furfuryl alcohol";"2-furanmethanol";"98-00-0";"C5H6O2";"alcohols";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Rubber, Natural (NR)";"";"furfuryl alcohol";"2-furanmethanol";"98-00-0";"C5H6O2";"alcohols";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Styrene Acrylonitrile Copolymer (SAN)";"";"furfuryl alcohol";"2-furanmethanol";"98-00-0";"C5H6O2";"alcohols";"3";"not recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
