sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Carbon dioxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";"10";"60 – 70";"";"120 psia; wet, not recommended, 66-95C (150-200F), 100%";"1";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";"100";"70 – 150";"";"no water, wet";"1";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"2";"questionable";"100";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";"10";"60 – 70";"";"~120 psia, saturated";"1";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"carbon dioxide";"carbonic anhydride";"wet";"124-38-9";"CO2";"gases";"1";"recommended";"90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"6";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";">90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"7";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";"100";"70 – 150";"";"no water";"1";"";"";"";"";"";"";"";"";"";""
"8";"Carbon-Graphite Composites";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"9";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";"10";"70";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"10";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";"100";"250";"";"";"16";"";"";"";"";"";"";"";"";"";""
"11";"Chlorinated Polyvinyl Chloride (CPVC)";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";"100";"70 – 212";"";"";"1, 2";"";"";"";"";"";"";"";"";"";""
"12";"Chlorosulfonated Polyethylene";"";"carbon dioxide";"carbonic anhydride";"saturated";"124-38-9";"CO2";"gases";"1";"recommended";"10";"70 – 212";"";"120 psia";"1";"";"";"";"";"";"";"";"";"";""
"13";"Chlorosulfonated Polyethylene";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";"10 – 90";"70 – 140";"";"";"1";"";"";"";"";"";"";"";"";"";""
"14";"Chlorosulfonated Polyethylene";"";"carbon dioxide";"carbonic anhydride";"wet";"124-38-9";"CO2";"gases";"1";"recommended";"10 – 90";"140 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"15";"Chlorosulfonated Polyethylene";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";"100";"70 – 175";"";"no water, wet";"1";"";"";"";"";"";"";"";"";"";""
"16";"Concrete";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";"100";"60 – 70";"";"no water; wet; gas";"1";"";"";"";"";"";"";"";"";"";""
"17";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended; over 3 years";">10";"50 – 175";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"18";"Epoxy Resin, Glass Fiber- Reinforced";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";"10";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"19";"Epoxy Resin, Glass Fiber- Reinforced";"";"carbon dioxide";"carbonic anhydride";"wet or dry";"124-38-9";"CO2";"gases";"1";"recommended";"100";"70 – 250";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"20";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";"100";"70 – 90";"";"cyclic immersion";"1";"";"";"";"";"";"";"";"";"";""
"21";"Fluororubber";"";"carbon dioxide";"carbonic anhydride";"saturated";"124-38-9";"CO2";"gases";"1";"recommended";"10";"60 – 212";"";"120 psia, permeable";"1";"";"";"";"";"";"";"";"";"";""
"22";"Fluororubber";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";"10 – 90";"70 – 140";"";"";"1";"";"";"";"";"";"";"";"";"";""
"23";"Fluororubber";"";"carbon dioxide";"carbonic anhydride";"wet";"124-38-9";"CO2";"gases";"1";"recommended";"10 – 90";"140 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"24";"Fluororubber";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";"100";"70 – 175";"";"no water, wet";"1";"";"";"";"";"";"";"";"";"";""
"25";"Glass, Chemical";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";"100";"70 – 250";"";"pipes";"1";"";"";"";"";"";"";"";"";"";""
"26";"Glassed Steel";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";">10";"50 – 300";"";"questionable ";"1";"";"";"";"";"";"";"";"";"";""
"27";"Nylon";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"28";"Polychloroprene";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";"10";"60 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"29";"Polychloroprene";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";"10";"60 – 70";"";"120 psia, saturated";"1";"";"";"";"";"";"";"";"";"";""
"30";"Polychloroprene";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";"10 – 90";"70 – 140";"";"";"1";"";"";"";"";"";"";"";"";"";""
"31";"Polychloroprene";"";"carbon dioxide";"carbonic anhydride";"wet";"124-38-9";"CO2";"gases";"1";"recommended";"10 – 90";"140 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"32";"Polychloroprene";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";"100";"70 – 175";"";"no water, wet";"1";"";"";"";"";"";"";"";"";"";""
