sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium peroxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"25 – 225";"<2";"92,198,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"10";"68 – 212";"<2";"92,198";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"25 – 225";"<2";"92,198,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"25 – 225";"<2";"92,198,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"hazardous!";"5 – 15";"25 – 225";"<20";"92,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"possible hazard";"15 – 70";"25 – 75";">50";"92,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"25 – 225";"<2";"92,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"25 – 225";"<2";"92,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Brass (>15Zn)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 70";"25 – 75";">50";"92,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cast Iron, Gray/ Ductile";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"75 – 225";"<20";"92,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cast Iron, Gray/ Ductile";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 70";"25 – 75";"<2";"92,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
