sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Aluminum acetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"aluminum acetate";"salts";"5 – 95";"125 – 225";"<20";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Nickel (200)";"aluminum acetate";"salts";"5 – 15";"25 – 225";"<20";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Nickel-Copper (400)";"aluminum acetate";"salts";"5 – 15";"25 – 225";"<20";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Ni-Cr-Fe Alloy (600/ 690)";"aluminum acetate";"salts";"5 – 15";"25 – 225";"<20";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Ni-Mo Alloy (Ni-30Mo; B-2)";"aluminum acetate";"salts";"5 – 95";"25 – 125";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Ni-Mo Alloy (Ni-30Mo; B-2)";"aluminum acetate";"salts";"5 – 95";"125 – 225";"<20";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Silicon Cast Iron (14Si)";"aluminum acetate";"salts";"5 – 25";"52 – 237";"<20";"208,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Silver";"aluminum acetate";"salts";"5 – 15";"25 – 125";"<2";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Silver";"aluminum acetate";"salts";"5 – 15";"125 – 225";"<20";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Steels, Carbon/ Low Alloy";"aluminum acetate";"salts";"5 – 15";"25 – 75";">50";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Tantalum";"aluminum acetate";"salts";"5 – 25";"25 – 225";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
