sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Cadmium chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"cadmium chloride";"cadmium dichloride";"10108-64-2";"CdCl2";"salts";"";"5 – 35";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"cadmium chloride";"cadmium dichloride";"10108-64-2";"CdCl2";"salts";"";"5 – 35";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"cadmium chloride";"cadmium dichloride";"10108-64-2";"CdCl2";"salts";"";"5 – 35";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"cadmium chloride";"cadmium dichloride";"10108-64-2";"CdCl2";"salts";"pitting; stress corrosion cracking";"5 – 15";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"cadmium chloride";"cadmium dichloride";"10108-64-2";"CdCl2";"salts";"";"25 – 35";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"cadmium chloride";"cadmium dichloride";"10108-64-2";"CdCl2";"salts";"pitting; stress corrosion cracking";"5 – 35";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"cadmium chloride";"cadmium dichloride";"10108-64-2";"CdCl2";"salts";"";"5 – 35";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"cadmium chloride";"cadmium dichloride";"10108-64-2";"CdCl2";"salts";"";"5 – 15";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"cadmium chloride";"cadmium dichloride";"10108-64-2";"CdCl2";"salts";"";"25 – 35";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"cadmium chloride";"cadmium dichloride";"10108-64-2";"CdCl2";"salts";"";"5 – 35";"25 – 75";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper-Nickel";"cadmium chloride";"cadmium dichloride";"10108-64-2";"CdCl2";"salts";"";"5 – 15";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (12Cr)";"cadmium chloride";"cadmium dichloride";"10108-64-2";"CdCl2";"salts";"";"5 – 15";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (12Cr)";"cadmium chloride";"cadmium dichloride";"10108-64-2";"CdCl2";"salts";"";"25 – 35";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
