sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Diphenyl";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Epoxy Cements";"diphenyl";"biphenyl";"";"92-52-4";"C12H10";"aromatics";"1";"recommended";"50";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";""
"2";"Epoxy Cements";"diphenyl";"biphenyl";"";"92-52-4";"C12H10";"aromatics";"1";"recommended";"50";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"3";"Fluororubber";"diphenyl";"biphenyl";"";"92-52-4";"C12H10";"aromatics";"3";"not recommended";"100";"60 – 70";"";"or diphenylene oxide";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"diphenyl";"biphenyl";"";"92-52-4";"C12H10";"aromatics";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Glass, Chemical";"diphenyl";"biphenyl";"";"92-52-4";"C12H10";"aromatics";"1";"recommended";"100";"70 – 475";"";"or diphenyl oxide";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Glass, Chemical";"diphenyl";"biphenyl";"";"92-52-4";"C12H10";"aromatics";"1";"recommended";"100";"475 – 752";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Nylon";"diphenyl";"biphenyl";"";"92-52-4";"C12H10";"aromatics";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Phenolic Resins, Asbestos-Reinforced";"diphenyl";"biphenyl";"";"92-52-4";"C12H10";"aromatics";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Phenolic Resins, Asbestos-Reinforced";"diphenyl";"biphenyl";"";"92-52-4";"C12H10";"aromatics";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyesters, Glass Fiber-Reinforced";"diphenyl";"biphenyl";"diphenyl oxide";"92-52-4";"C12H10";"aromatics";"1";"recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Styrene Acrylonitrile Copolymer (SAN)";"diphenyl";"biphenyl";"diphenylamine";"92-52-4";"C12H10";"aromatics";"3";"not recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Wood";"diphenyl";"biphenyl";"";"92-52-4";"C12H10";"aromatics";"3";"not recommended";"100";"60 – 70";"";"permeable; or diphenylene oxide";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
