sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Cellulose Acetate Butyrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"22";"Cellulose Acetate Butyrate";"benzaldehyde";"benzenecarboxaldehyde";"";"100-52-7";"C7H6O";"aldehydes";"3";"not recommended; disintegrated";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"23";"Cellulose Acetate Butyrate";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"3";"not recommended; disintegrated";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"24";"Cellulose Acetate Butyrate";"blood";"";"";"";"";"natural products";"1";"recommended";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"25";"Cellulose Acetate Butyrate";"boric acid";"";"";"";"";"inorganic acids";"2";"questionable; weight gain, ";"<5";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"26";"Cellulose Acetate Butyrate";"butter";"";"";"";"";"foods & beverages";"1";"recommended";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"27";"Cellulose Acetate Butyrate";"butyl acetate";"";"";"123-86-4";"C6H12O2";"esters";"3";"not recommended; disintegrated";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"28";"Cellulose Acetate Butyrate";"butyl alcohol";"1-butanol";"";"71-36-3";"C4H10O";"alcohols";"3";"not recommended; swollen; weight gain";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"29";"Cellulose Acetate Butyrate";"calcium chloride";"hydrophilite";"";"10043-52-4";"CaCl2";"salts";"1";"recommended; >12 months";"";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"30";"Cellulose Acetate Butyrate";"calcium chloride";"hydrophilite";"";"10043-52-4";"CaCl2";"salts";"1";"recommended";"40";"60 – 70";"[";"";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Cellulose Acetate Butyrate";"calcium hydroxide";"";"";"1305-62-0";"CaH2O2";"hydroxides";"3";"not recommended";"10";"60 – 70";"<1";"saturated; weight gain";"1";"";"";"";"";"";"";"";"";"";"";""
"32";"Cellulose Acetate Butyrate";"calcium hypochlorite";"";"";"";"";"salts";"3";"not recommended; softened, weight gain, cracked, >12 months";"<6";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"33";"Cellulose Acetate Butyrate";"calcium hypochlorite";"";"";"";"";"salts";"1";"recommended";"30";"60 – 70";"[";"";"1";"";"";"";"";"";"";"";"";"";"";""
"34";"Cellulose Acetate Butyrate";"calcium phosphate";"whitlockite";"";"7758-87-4";"Ca3O8P2";"salts";"1";"recommended; discolored";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"35";"Cellulose Acetate Butyrate";"calcium sulfate";"";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"36";"Cellulose Acetate Butyrate";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"3";"not recommended; softened; swollen; weight gain";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"37";"Cellulose Acetate Butyrate";"carbon tetrabromide";"tetrabromomethane";"";"558-13-4";"CBr4";"halogenated aliphatics";"3";"not recommended; softened; swollen";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"38";"Cellulose Acetate Butyrate";"carbon tetrachloride";"tetrachloromethane";"";"56-23-5";"CCl4";"solvents";"3";"not recommended; softened";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"39";"Cellulose Acetate Butyrate";"catsup";"";"";"";"";"foods & beverages";"1";"recommended; discolored";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"40";"Cellulose Acetate Butyrate";"chlordane";"4,7-methano-1H-indene, 1,2,4,5,6,7,8,8-octachloro-2,3,3a,4,7,7a-hexahydro-";"";"57-74-9 [12789-03-6]";"C10H6Cl8";"agricultural chemicals";"3";"not recommended; weight gain";"20";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"41";"Cellulose Acetate Butyrate";"chlorine";"";"saturated";"7782-50-5";"Cl2";"";"3";"not recommended";"90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"42";"Cellulose Acetate Butyrate";"chlorine";"";"";"7782-50-5";"Cl2";"";"3";"not recommended; embrittled; weight gain; crazes";">90";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"43";"Cellulose Acetate Butyrate";"chlorine";"";"";"7782-50-5";"Cl2";"";"3";"not recommended";"100";"60 – 70";"";"no water, wet";"1";"";"";"";"";"";"";"";"";"";"";""
"44";"Cellulose Acetate Butyrate";"chlorobenzene";"phenyl chloride";"";"108-90-7";"C6H5Cl";"halogenated aromatics";"3";"not recommended; disintegrated";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"45";"Cellulose Acetate Butyrate";"chlorobromomethane";"";"";"";"";"halogenated aliphatics";"3";"not recommended; disintegrated";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"46";"Cellulose Acetate Butyrate";"chlorodifluoromethane";"refrigerant 22";"gas";"75-45-6";"CHClF2";"chlorofluorocarbons";"3";"not recommended; weight gain";"100";"60 – 70";"<1";"liquid, disintegrated";"1";"";"";"";"";"";"";"";"";"";"";""
"47";"Cellulose Acetate Butyrate";"chloroform";"trichloromethane";"medicine";"67-66-3";"CHCl3";"halogenated aliphatics";"3";"not recommended; disintegrated";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"48";"Cellulose Acetate Butyrate";"chromic acid";"";"";"";"";"inorganic acids";"3";"not recommended; weight gain, ";"6";"90 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"49";"Cellulose Acetate Butyrate";"chromium potassium sulfate";"";"";"";"";"salts";"2";"questionable; weight gain";"10";"90 – 100";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"50";"Cellulose Acetate Butyrate";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"";"77-92-9";"C6H8O7";"organic (weak) acids";"1";"recommended";"10";"60 – 70";"[>12]";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
