sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium fluorosilicate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Cellulose Acetate";"sodium fluorosilicate";"";"1";"recommended; warped slightly";"0.75";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Concrete";"sodium fluorosilicate";"";"1";"recommended";"10 – 90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Glass, Chemical";"sodium fluorosilicate";"";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Nylon";"sodium fluorosilicate";"";"1";"recommended";"10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Polyethylene (PE)";"sodium fluorosilicate";"";"1";"recommended";"10";"70 – 125";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Wood";"sodium fluorosilicate";"";"1";"recommended";">10";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Wood";"sodium fluorosilicate";"crystals, powders, solids";"1";"recommended";"90";"70 – 85";"";"with hydrochloric acid";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
