sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Allyl alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"";">5";"25 – 225";"<2";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"";"100";"25 – 325";"<2";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"";">5";"25 – 225";"<2";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"";"100";"25 – 325";"<2";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"";">5";"25 – 225";"<2";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"";"100";"25 – 325";"<2";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"hazardous!";">5";"25 – 225";"<20";"207,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"possible hazard";"85 – 95";"225 – 325";">50";"207,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"";">5";"25 – 225";"<2";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"";"100";"25 – 325";"<2";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
