sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sulfur dioxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 100";"<2";"102,131,200,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"100 – 425";"<20";"102,131,200,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"sulfur dioxide";"wet gas";"7446-09-05";"O2S";"gases";"";"100";"212";"<2";"102,131,200,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-6Mo (254SMO/ 6XN)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"77";"<2";"102,131,200";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 100";"<2";"102,131,200,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"100 – 425";"<20";"102,131,200,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 100";"<2";"102,131,200,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"100 – 425";"<20";"102,131,200,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Aluminum Alloy (3003/ 5154)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 475";"<2";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 425";"<20";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Brass (>15Zn)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 325";"<20";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cast Iron, Gray/ Ductile";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 475";"<20";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper/ Bronze/ Low Brass";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 325";"<20";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Copper-Nickel";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 325";"<2";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cr Stainless Steel (12Cr)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 425";"<20";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cr Stainless Steel (17Cr)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 475";"<20";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Duplex Stainless Steel (25-6-3)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"77";"<2";"102,131,200";"";"";"";"";"";"";"";"";"";"";"";"";"";""
