sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium formate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"potassium formate";"590-29-4";"CHKO2";"organic acid salts";"5 – 80";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"potassium formate";"590-29-4";"CHKO2";"organic acid salts";"5 – 80";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"potassium formate";"590-29-4";"CHKO2";"organic acid salts";"5 – 80";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"potassium formate";"590-29-4";"CHKO2";"organic acid salts";"5 – 80";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"potassium formate";"590-29-4";"CHKO2";"organic acid salts";"5 – 80";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"potassium formate";"590-29-4";"CHKO2";"organic acid salts";"5 – 80";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"potassium formate";"590-29-4";"CHKO2";"organic acid salts";"5 – 80";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"potassium formate";"590-29-4";"CHKO2";"organic acid salts";"5 – 80";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"potassium formate";"590-29-4";"CHKO2";"organic acid salts";"5 – 80";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper-Nickel";"potassium formate";"590-29-4";"CHKO2";"organic acid salts";"5 – 80";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (17Cr)";"potassium formate";"590-29-4";"CHKO2";"organic acid salts";"5 – 80";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Gold/ Platinum";"potassium formate";"590-29-4";"CHKO2";"organic acid salts";"5 – 80";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Lead";"potassium formate";"590-29-4";"CHKO2";"organic acid salts";"5 – 80";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Nickel (200)";"potassium formate";"590-29-4";"CHKO2";"organic acid salts";"5 – 80";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Nickel-Copper (400)";"potassium formate";"590-29-4";"CHKO2";"organic acid salts";"5 – 80";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Ni-Cr-Fe Alloy (600/ 690)";"potassium formate";"590-29-4";"CHKO2";"organic acid salts";"5 – 80";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Silicon Cast Iron (14Si)";"potassium formate";"590-29-4";"CHKO2";"organic acid salts";"5 – 80";"52 – 237";"<2";"~7 pH and ";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Silver";"potassium formate";"590-29-4";"CHKO2";"organic acid salts";"5 – 80";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Steels, Carbon/ Low Alloy";"potassium formate";"590-29-4";"CHKO2";"organic acid salts";"15 – 80";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Superferritic Stainless Steel (26-1)";"potassium formate";"590-29-4";"CHKO2";"organic acid salts";"5 – 80";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Zirconium";"potassium formate";"590-29-4";"CHKO2";"organic acid salts";"5 – 80";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
