sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Trichloroethane";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"trichloroethane";"1,1,1-trichloroethane";"halogenated aliphatics";"1";"recommended; 1,1,2- is not recommended";"100";"85";"<6";"1,1,1-trichloroethane";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"trichloroethane";"";"halogenated aliphatics";"1";"recommended";"100";"70 – 90";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Furan Laminates";"";"trichloroethane";"";"halogenated aliphatics";"1";"recommended";"100";"70 – 80";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"trichloroethane";"";"halogenated aliphatics";"3";"not recommended";"100";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Polyesters, Glass Fiber-Reinforced";"";"trichloroethane";"";"halogenated aliphatics";"3";"not recommended";"100";"60 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"trichloroethane";"";"halogenated aliphatics";"1";"recommended";"100";"0 – 167";"<6";"1,1,1 trichloroethane";"11";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Vinyl Ester Resins";"";"trichloroethane";"";"halogenated aliphatics";"1";"recommended";"100";"60 – 120";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
