sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methyl acetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"52 – 192";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"52 – 192";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"52 – 145";"<2";">1% water";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"145 – 280";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"280 – 327";">50";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"5 – 35";"187 – 237";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"15 – 25";"52 – 237";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"52 – 147";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"52 – 147";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Brass (>15Zn)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"5 – 35";"187 – 237";"<2";"no air, oxygen";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
