sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Mint oil";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Cellulose Acetate";"mint oil";"essential oils";"1";"recommended";"100";"60 – 70";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Cellulose Acetate Butyrate";"mint oil";"essential oils";"3";"not recommended; disintegrated";"100";"60 – 70";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Glass, Chemical";"mint oil";"essential oils";"1";"recommended";"100";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Polyesters, Glass Fiber-Reinforced";"mint oil";"essential oils";"1";"recommended";"100";"70 – 80";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Polyethylene (PE)";"mint oil";"essential oils";"2";"questionable";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Polyethylene (PE)";"mint oil";"essential oils";"3";"not recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Polypropylene (PP)";"mint oil";"essential oils";"1";"recommended";"100";"70 – 80";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polypropylene (PP)";"mint oil";"essential oils";"3";"not recommended";"100";"80 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Styrene Acrylonitrile Copolymer (SAN)";"mint oil";"essential oils";"3";"not recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
