sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chlorohydrin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Silicon Cast Iron (14Si)";"chlorohydrin";"alcohols";"";"100";"52 – 102";">50";"32,210,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Silver";"chlorohydrin";"alcohols";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Steels, Carbon/ Low Alloy";"chlorohydrin";"alcohols";"";"100";"25 – 425";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Tantalum";"chlorohydrin";"alcohols";"";"100";"25 – 425";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Tantalum";"chlorohydrin";"alcohols";"";"100";"475 – 500";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Titanium, Unalloyed";"chlorohydrin";"alcohols";"";"100";"0 – 262";"<2";"32,169,210";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Zirconium";"chlorohydrin";"alcohols";"";"45 – 55";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
