sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Butyric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"butyric acid";"butanoic acid";"107-92-6";"C4H8O2";"organic (weak) acids";"2";"questionable";"20";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"butyric acid";"butanoic acid";"107-92-6";"C4H8O2";"organic (weak) acids";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"butyric acid";"butanoic acid";"107-92-6";"C4H8O2";"organic (weak) acids";"1";"recommended";"5";"60 – 165";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"butyric acid";"butanoic acid";"107-92-6";"C4H8O2";"organic (weak) acids";"1";"recommended";"20";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"butyric acid";"butanoic acid";"107-92-6";"C4H8O2";"organic (weak) acids";"2";"questionable";"20";"70 – 165";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"butyric acid";"butanoic acid";"107-92-6";"C4H8O2";"organic (weak) acids";"3";"not recommended";"100";"60 – 165";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Carbon-Graphite Composites";"";"butyric acid";"butanoic acid";"107-92-6";"C4H8O2";"organic (weak) acids";"1";"recommended";">10";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Carbon-Graphite Composites";"";"butyric acid";"butanoic acid";"107-92-6";"C4H8O2";"organic (weak) acids";"1";"recommended";"100";"70 – 338";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"butyric acid";"butanoic acid";"107-92-6";"C4H8O2";"organic (weak) acids";"1";"recommended";"any";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"butyric acid";"butanoic acid";"107-92-6";"C4H8O2";"organic (weak) acids";"1";"recommended";"20";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"11";"Chlorosulfonated Polyethylene";"";"butyric acid";"butanoic acid";"107-92-6";"C4H8O2";"organic (weak) acids";"1";"recommended";"20";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Chlorosulfonated Polyethylene";"";"butyric acid";"butanoic acid";"107-92-6";"C4H8O2";"organic (weak) acids";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Concrete";"";"butyric acid";"butanoic acid";"107-92-6";"C4H8O2";"organic (weak) acids";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"butyric acid";"butanoic acid";"107-92-6";"C4H8O2";"organic (weak) acids";"1";"recommended";">10";"75 – 200";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Epoxy Resin, Glass Fiber- Reinforced";"";"butyric acid";"butanoic acid";"107-92-6";"C4H8O2";"organic (weak) acids";"1";"recommended";"10 – 50";"70 – 150";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"16";"Epoxy Resin, Glass Fiber- Reinforced";"";"butyric acid";"butanoic acid";"107-92-6";"C4H8O2";"organic (weak) acids";"1";"recommended";"100";"70 – 100";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"17";"Epoxy Resin, Glass Fiber- Reinforced";"";"butyric acid";"butanoic acid";"107-92-6";"C4H8O2";"organic (weak) acids";"2";"questionable";"100";"100 – 150";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"18";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"butyric acid";"butanoic acid";"107-92-6";"C4H8O2";"organic (weak) acids";"1";"recommended";"100";"70 – 90";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Fluororubber";"";"butyric acid";"butanoic acid";"107-92-6";"C4H8O2";"organic (weak) acids";"1";"recommended";"20";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Fluororubber";"";"butyric acid";"butanoic acid";"107-92-6";"C4H8O2";"organic (weak) acids";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"butyric acid";"butanoic acid";"107-92-6";"C4H8O2";"organic (weak) acids";"1";"recommended";"20";"70 – 250";"[>12]";"";"1";"";"";"";"";"";"";"";"";"";"";""
