sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sulfur trioxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"sulfur trioxide";"7446-11-09";"O3S";"oxidizing agents";"";"100";"63 – 425";"<20";"103,149,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sulfur trioxide";"7446-11-09";"O3S";"oxidizing agents";"";"100";"63 – 425";"<20";"103,149,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"sulfur trioxide";"7446-11-09";"O3S";"oxidizing agents";"";"100";"63 – 425";"<20";"103,149,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"sulfur trioxide";"7446-11-09";"O3S";"oxidizing agents";"";"100";"63 – 75";"<20";"103,149,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sulfur trioxide";"7446-11-09";"O3S";"oxidizing agents";"";"100";"63 – 425";"<20";"103,149,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sulfur trioxide";"7446-11-09";"O3S";"oxidizing agents";"";"100";"63 – 425";"<20";"103,149,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"sulfur trioxide";"7446-11-09";"O3S";"oxidizing agents";"";"100";"63 – 75";"<20";"103,149,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"sulfur trioxide";"7446-11-09";"O3S";"oxidizing agents";"hazardous!";"100";"63 – 425";"<20";"103,149,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"sulfur trioxide";"7446-11-09";"O3S";"oxidizing agents";"";"100";"63 – 75";"<20";"103,149,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Gold/ Platinum";"sulfur trioxide";"7446-11-09";"O3S";"oxidizing agents";"";"100";"63 – 425";"<2";"103,149,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Lead";"sulfur trioxide";"7446-11-09";"O3S";"oxidizing agents";"";"100";"63 – 75";"<20";"103,149,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Nickel (200)";"sulfur trioxide";"7446-11-09";"O3S";"oxidizing agents";"";"100";"63 – 225";"<20";"103,149,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Nickel-Copper (400)";"sulfur trioxide";"7446-11-09";"O3S";"oxidizing agents";"";"100";"63 – 225";"<20";"103,149,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Ni-Cr-Fe Alloy (600/ 690)";"sulfur trioxide";"7446-11-09";"O3S";"oxidizing agents";"";"100";"63 – 225";"<20";"103,149,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Ni-Mo Alloy (Ni-30Mo; B-2)";"sulfur trioxide";"7446-11-09";"O3S";"oxidizing agents";"";"100";"75 – 125";"20 – 50";"103,149,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Niobium (Columbium)";"sulfur trioxide";"7446-11-09";"O3S";"oxidizing agents";"";"100";"77";">50";"103,149,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Silicon Cast Iron (14Si)";"sulfur trioxide";"7446-11-09";"O3S";"oxidizing agents";"";"100";"63 – 102";">50";"103,149,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Steels, Carbon/ Low Alloy";"sulfur trioxide";"7446-11-09";"O3S";"oxidizing agents";"";"100";"63 – 425";"<20";"103,149,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Superferritic Stainless Steel (26-1)";"sulfur trioxide";"7446-11-09";"O3S";"oxidizing agents";"";"100";"63 – 425";"<20";"103,149,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Tantalum";"sulfur trioxide";"7446-11-09";"O3S";"oxidizing agents";"";"100";"63 – 75";">50";"103,149,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
