sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium hydroxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"24";"Epoxy Resin, Glass Fiber- Reinforced";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended";"20";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"25";"Epoxy Resin, Glass Fiber- Reinforced";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended";"28";"100";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"26";"Epoxy Resin, Glass Fiber- Reinforced";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended; weight gain ";"30";"70 – 80";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"27";"Epoxy Resin, Glass Fiber- Reinforced";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"3";"not recommended";"30";"80 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"28";"Epoxy Resin, Glass Fiber- Reinforced";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"3";"not recommended";"100";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"29";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended; strength loss; steady state reached in exposure time";"100";"32 – 150";"<1";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"30";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Fluororubber";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"3";"not recommended; weight gain";"30";"70 – 80";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"32";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"33";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended";"30";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
