sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium silicate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"sodium silicate";"";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"sodium silicate";"";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Cellulose Acetate";"";"sodium silicate";"";"1";"recommended; etched, softened";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate Butyrate";"";"sodium silicate";"saturated";"2";"questionable";"90";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate Butyrate";"";"sodium silicate";"";"1";"recommended; discolored";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"sodium silicate";"";"1";"recommended";"100";"200";"<6";"pH 12";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"sodium silicate";"";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Concrete";"";"sodium silicate";"";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Resin, Glass Fiber- Reinforced";"";"sodium silicate";"";"1";"recommended";"10 – 90";"70 – 125";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Glass Fiber- Reinforced";"";"sodium silicate";"";"1";"recommended";"100";"70 – 150";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"sodium silicate";"";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Fluororubber";"";"sodium silicate";"";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Glass, Chemical";"";"sodium silicate";"";"1";"recommended";"10";"60 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Glass, Chemical";"";"sodium silicate";"";"1";"recommended";"10 – 20";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Glass, Chemical";"";"sodium silicate";"";"3";"not recommended";">60";"212 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Nylon";"";"sodium silicate";"";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polychloroprene";"";"sodium silicate";"";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polyesters, Glass Fiber-Reinforced";"";"sodium silicate";"";"1";"recommended";"10 – 50";"70 – 200";"";"12 pH; short time tests; Dynel veil required";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyethylene (PE)";"";"sodium silicate";"";"1";"recommended";">10";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"sodium silicate";"";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Polypropylene (PP)";"";"sodium silicate";"";"1";"recommended";"100";"70 – 212";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyvinylidene Fluoride (PVDF)";"";"sodium silicate";"";"1";"recommended";"100";"70 – 275";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Rubber, Butyl (BR)";"";"sodium silicate";"";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Rubber, Natural (NR)";"";"sodium silicate";"";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Vinyl Ester Resins";"";"sodium silicate";"";"1";"recommended";"any";"210";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
