sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethylene dichloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"11";"Concrete";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"3";"not recommended";"100";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"1";"recommended; over 3 years";">10";"50 – 120";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"13";"Epoxy Resin, Glass Fiber- Reinforced";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"1";"recommended; weight gain ";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"14";"Epoxy Resin, Glass Fiber- Reinforced";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"2";"questionable";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"15";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"1";"recommended; immersed not recommended";"100";"70 – 90";"";"cyclic immersion";"1";"";"";"";"";"";"";"";"";"";""
"16";"Fluororubber";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"3";"not recommended; weight gain";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"17";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"18";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"3";"not recommended";"100";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";""
"19";"Glass, Chemical";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"1";"recommended";"100";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"20";"Glassed Steel";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"1";"recommended; questionable ";">10";"50 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";""
"21";"Nylon";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"2";"questionable";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"22";"Phenolic Resins, Asbestos-Reinforced";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"23";"Phenolic Resins, Asbestos-Reinforced";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"24";"Phenolic Resins, Asbestos-Reinforced";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"2";"questionable";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"25";"Phenolic Resins, Non-asbestos";"Haveg 41-NA";"ethylene dichloride";"1,2-dichloroethane";"liquid";"107-06-2";"C2H4Cl2";"solvents";"1";"recommended; slight weight/volume change";"100";"181";"";"90 days";"3";"";"";"";"";"";"";"";"";"";""
"26";"Polychloroprene";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"27";"Polychloroprene";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"3";"not recommended; weight gain, ";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";""
"28";"Polyesters, Glass Fiber-Reinforced";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"3";"not recommended";">10";"75 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"29";"Polyethylene (PE)";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"3";"not recommended; may stress crack; swollen; weight gain; plasticizer";"100";"70 – 150";"<1";"";"1, 8";"";"";"";"";"";"";"";"";"";""
"30";"Polymethyl Methacrylate (PMMA)";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"3";"not recommended; may dissolve";"100";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"31";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"1";"recommended";"100";"0 – 50";"<1";"";"11";"";"";"";"";"";"";"";"";"";""
"32";"Polypropylene (PP)";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"2";"questionable; swollen; weight gain";"100";"60 – 125";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"33";"Polypropylene (PP)";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"3";"not recommended";"100";"125 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"34";"Polyvinyl Chloride (PVC)";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"3";"not recommended";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";""
"35";"Polyvinyl Chloride (PVC)";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"3";"not recommended; disintegrated ";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"36";"Polyvinylidene Fluoride (PVDF)";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"1";"recommended";"100";"70 – 275";"";"";"1, 23";"";"";"";"";"";"";"";"";"";""
"37";"Rubber, Butyl (BR)";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"2";"questionable";"100";"60 – 70";"[>12]";"";"1";"";"";"";"";"";"";"";"";"";""
"38";"Rubber, Butyl (BR)";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"2";"questionable";"100";"150 – 175";"[";"";"1";"";"";"";"";"";"";"";"";"";""
"39";"Rubber, Natural (NR)";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"40";"Rubber, Natural (NR)";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"3";"not recommended; weight gain ";"100";"70 – 110";"";"";"1";"";"";"";"";"";"";"";"";"";""
"41";"Rubber, Natural (NR)";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"3";"not recommended; weight gain ";"100";"110 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";""
"42";"Styrene Acrylonitrile Copolymer (SAN)";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"3";"not recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";""
"43";"Vinyl Ester Resins";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"3";"not recommended";"100";"75 – 180";"";"";"7";"";"";"";"";"";"";"";"";"";""
"44";"Wood";"";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"3";"not recommended";"100";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
