sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Arsenic trichloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"5 – 15";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"5 – 15";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"100";"25 – 175";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"5 – 15";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"100";"25 – 175";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"15 – 25";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"85 – 95";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"100";"25 – 75";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Aluminum Alloy (3003/ 5154)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"100";"75 – 125";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"5 – 15";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"100";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
