sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Silicates";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Silicates";"chlorine";"7782-50-5";"Cl2";"";"1";"recommended";"10";"68";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Silicates";"chlorine";"7782-50-5";"Cl2";"";"1";"recommended";"25";"68";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Silicates";"chlorine";"7782-50-5";"Cl2";"";"1";"recommended";"50";"68";"<6";"chlorine water, saturated with water; HB, HES, HFR, SWK";"5";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Silicates";"monochloroacetic acid";"";"";"organic (weak) acids";"1";"recommended";"100";"0 – 302";"<6";"HB, HES, HFR, SWK";"5";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Silicates";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"100";"0 – 302";"<6";"HB, HES, HFR, SWK";"5";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
