sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended; do not use over 135°C (275°F) in contact with glass-lined equipment";"any";"250 – 325";">12";"";"10";"";"";"";"";"";"";"";"";"";""
"2";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended; barrier linings recommended to 177°C (350°F)";"any";"325 – 400";"";"";"10";"";"";"";"";"";"";"";"";"";""
"3";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"acetic anhydride";"";"";"108-24-7";"C4H6O3";"anhydrides";"1";"recommended; do not use over 135°C (275°F) in contact with glass-lined equipment";"100";"200 – 250";"<6";"";"10";"";"";"";"";"";"";"";"";"";""
"4";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"acetic anhydride";"";"";"108-24-7";"C4H6O3";"anhydrides";"2";"questionable";"100";"250 – 275";"";"";"10";"";"";"";"";"";"";"";"";"";""
"5";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"1";"recommended; >12 months";"any";"150 – 350";"";"";"1, 10, 22";"";"";"";"";"";"";"";"";"";""
"6";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"1";"recommended";"100";"32 – 100";"<1";"up to 66°C (150°F) weight gain, strength loss, steady state reached in one week exposure";"1, 10, 22";"";"";"";"";"";"";"";"";"";""
"7";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"3";"not recommended";"100";"100 – 150";"";"";"1, 10, 22";"";"";"";"";"";"";"";"";"";""
"8";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"acetophenone";"methyl phenyl ketone";"";"98-86-2";"C8H8O";"ketones";"1";"recommended; steady state reached in exposure time";"100";"32 – 200";"<1";"";"1, 22";"";"";"";"";"";"";"";"";"";""
"9";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"acetophenone";"methyl phenyl ketone";"";"98-86-2";"C8H8O";"ketones";"2";"questionable";"100";"200 – 330";"";"";"1, 22";"";"";"";"";"";"";"";"";"";""
"10";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"acetophenone";"methyl phenyl ketone";"";"98-86-2";"C8H8O";"ketones";"2";"questionable; weight gain, strength loss, 180°C (356°F)";"100";"330 – 356";"";"";"1, 22";"";"";"";"";"";"";"";"";"";""
