sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Decahydronaphthalene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"decahydronaphthalene";"hydrocarbons";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorosulfonated Polyethylene";"decahydronaphthalene";"hydrocarbons";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"decahydronaphthalene";"hydrocarbons";"1";"recommended; strength loss; steady state reached in one week exposure";"100";"32 – 250";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"decahydronaphthalene";"hydrocarbons";"1";"recommended";"100";"70 – 90";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Fluororubber";"decahydronaphthalene";"hydrocarbons";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Nylon";"decahydronaphthalene";"hydrocarbons";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Polychloroprene";"decahydronaphthalene";"hydrocarbons";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polypropylene (PP)";"decahydronaphthalene";"hydrocarbons";"3";"not recommended; disintegrated";"100";"60 – 212";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Rubber, Butyl (BR)";"decahydronaphthalene";"hydrocarbons";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Rubber, Natural (NR)";"decahydronaphthalene";"hydrocarbons";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Styrene Acrylonitrile Copolymer (SAN)";"decahydronaphthalene";"hydrocarbons";"1";"recommended";"100";"70 – 125";"";"wettable";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
