sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ferrous chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 40";"25 – 225";"<20";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 40";"25 – 225";"<20";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 40";"25 – 225";"<20";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 40";"25 – 225";"<20";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 40";"25 – 225";"<20";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Nickel (200)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 15";"25 – 75";"20 – 50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Nickel Cast Iron (15-35Ni)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 15";"25 – 75";">50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Nickel Cast Iron (15-35Ni)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"25 – 35";"25 – 75";">50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Nickel-Copper (400)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 15";"25 – 75";"20 – 50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Nickel-Copper (400)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"15 – 25";"25 – 75";">50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Ni-Cr-Fe Alloy (600/ 690)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 15";"25 – 75";">50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Ni-Mo Alloy (Ni-30Mo; B-2)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 40";"25 – 225";"<20";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Ni-Mo Alloy (Ni-30Mo; B-2)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"100";"25 – 75";"<20";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Silicon Cast Iron (14Si)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 35";"52 – 237";"<20";"49,210,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Silicon Cast Iron (14Si)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"35 – 40";"187 – 237";"<20";"49,210,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Silicon Cast Iron (14Si)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"100";"52 – 237";"<20";"49,210,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Silver";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 35";"25 – 225";"<20";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Steels, Carbon/ Low Alloy";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 15";"25 – 75";">50";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Steels, Carbon/ Low Alloy";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"25 – 40";"25 – 75";">50";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Tantalum";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 35";"25 – 225";"<2";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Tantalum";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"35 – 40";"175 – 225";"<2";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Titanium, Unalloyed";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 35";"25 – 225";"<2";"49,181,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Titanium, Unalloyed";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"35 – 40";"175 – 225";"<2";"49,181,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Zirconium";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 35";"25 – 225";"<2";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Zirconium";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"35 – 40";"175 – 225";"<2";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
