sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Perchloric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"5 – 15";"25 – 65";"<2";"73,187,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"10";"68";"20 – 50";"73,187,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"100";"25 – 75";">50";"73,187,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-6Mo (254SMO/ 6XN)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"10";"68";"<2";"73,187";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"5 – 15";"25 – 75";"<2";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"15 – 75";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"100";"25 – 75";"<20";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"5 – 15";"25 – 75";"<2";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"15 – 75";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 30-44-5-3W (G-30)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"100";"25 – 75";"<20";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
