sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydrochloric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"hydrochloric acid";"hydrogen chloride";"7647-01-0";"ClH";"inorganic acids";"";"";"2";"68";"<2";"";"59,142,177,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"hydrochloric acid";"hydrogen chloride";"7647-01-0";"ClH";"inorganic acids";"";"";"2";"140";"20 – 50";"";"59,142,177,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"hydrochloric acid";"hydrogen chloride";"7647-01-0";"ClH";"inorganic acids";"";"";"2";"212";">50";"";"59,142,177,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-4Mo (904L)";"hydrochloric acid";"hydrogen chloride";"7647-01-0";"ClH";"inorganic acids";"";"stress corrosion cracking";"5 – 25";"25 – 75";"20 – 50";"";"59,142,177,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-25-4Mo (904L)";"hydrochloric acid";"hydrogen chloride";"7647-01-0";"ClH";"inorganic acids";"";"";"5 – 25";"77 – 175";">50";"";"59,142,177,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-25-4Mo (904L)";"hydrochloric acid";"hydrogen chloride";"7647-01-0";"ClH";"inorganic acids";"";"";"25 – 36";"25 – 75";">50";"";"59,142,177,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-25-6Mo (254SMO/ 6XN)";"hydrochloric acid";"hydrogen chloride";"7647-01-0";"ClH";"inorganic acids";"";"";"2";"68 – 140";"<2";"";"59,142,178,210";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 20-25-6Mo (254SMO/ 6XN)";"hydrochloric acid";"hydrogen chloride";"7647-01-0";"ClH";"inorganic acids";"";"";"2";"212";">50";"";"59,142,178,210";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 20-25-6Mo (254SMO/ 6XN)";"hydrochloric acid";"hydrogen chloride";"7647-01-0";"ClH";"inorganic acids";"";"";"5";"68";"<20";"";"59,142,178,210";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 20-25-6Mo (254SMO/ 6XN)";"hydrochloric acid";"hydrogen chloride";"7647-01-0";"ClH";"inorganic acids";"";"";"5";"95";">50";"";"59,142,178,210";"";"";"";"";"";"";"";"";"";"";"";""
