sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydroxyacetic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"hydroxyacetic acid";"";"organic (weak) acids";"2";"questionable";"40";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"hydroxyacetic acid";"";"organic (weak) acids";"1";"recommended";"30";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"hydroxyacetic acid";"";"organic (weak) acids";"1";"recommended";"40";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"hydroxyacetic acid";"";"organic (weak) acids";"1";"recommended";"35";"135";"<6";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"hydroxyacetic acid";"";"organic (weak) acids";"1";"recommended";"35";"140";"<6";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorinated Polyvinyl Chloride (CPVC)";"";"hydroxyacetic acid";"";"organic (weak) acids";"1";"recommended";"100";"70 – 212";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"hydroxyacetic acid";"";"organic (weak) acids";"1";"recommended";"40";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Fluororubber";"";"hydroxyacetic acid";"";"organic (weak) acids";"1";"recommended";"40";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polychloroprene";"";"hydroxyacetic acid";"saturated";"organic (weak) acids";"1";"recommended";"10 – 90";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyesters, Glass Fiber-Reinforced";"";"hydroxyacetic acid";"";"organic (weak) acids";"1";"recommended";"30";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyesters, Glass Fiber-Reinforced";"";"hydroxyacetic acid";"";"organic (weak) acids";"1";"recommended";"70";"70 – 100";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyethylene (PE)";"";"hydroxyacetic acid";"";"organic (weak) acids";"1";"recommended; may stress crack";"30";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polypropylene (PP)";"";"hydroxyacetic acid";"";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyvinyl Chloride (PVC)";"";"hydroxyacetic acid";"";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyvinylidene Fluoride (PVDF)";"";"hydroxyacetic acid";"";"organic (weak) acids";"1";"recommended";"100";"60 – 70";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyvinylidene Fluoride (PVDF)";"";"hydroxyacetic acid";"";"organic (weak) acids";"2";"questionable";"100";"70 – 150";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polyvinylidene Fluoride (PVDF)";"";"hydroxyacetic acid";"";"organic (weak) acids";"3";"not recommended";"100";"150 – 212";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Rubber, Butyl (BR)";"";"hydroxyacetic acid";"";"organic (weak) acids";"1";"recommended";"40";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Rubber, Natural (NR)";"";"hydroxyacetic acid";"";"organic (weak) acids";"1";"recommended";"40";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Vinyl Ester Resins";"";"hydroxyacetic acid";"";"organic (weak) acids";"1";"recommended";"70";"70 – 100";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
