sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Cyclohexanone";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"cyclohexanone";"pimelic ketone";"108-94-1";"C6H10O";"ketones";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"cyclohexanone";"pimelic ketone";"108-94-1";"C6H10O";"ketones";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Cellulose Acetate";"";"cyclohexanone";"pimelic ketone";"108-94-1";"C6H10O";"ketones";"3";"not recommended; disintegrated";"any";"0 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate Butyrate";"";"cyclohexanone";"pimelic ketone";"108-94-1";"C6H10O";"ketones";"3";"not recommended; disintegrated";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorinated Polyvinyl Chloride (CPVC)";"";"cyclohexanone";"pimelic ketone";"108-94-1";"C6H10O";"ketones";"3";"not recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorosulfonated Polyethylene";"";"cyclohexanone";"pimelic ketone";"108-94-1";"C6H10O";"ketones";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"cyclohexanone";"pimelic ketone";"108-94-1";"C6H10O";"ketones";"1";"recommended; strength loss; steady state reached in one week exposure";"100";"32 – 302";"<1";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"8";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"cyclohexanone";"pimelic ketone";"108-94-1";"C6H10O";"ketones";"1";"recommended; immersed not recommended";"100";"60 – 70";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"9";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"cyclohexanone";"pimelic ketone";"108-94-1";"C6H10O";"ketones";"1";"recommended";"100";"70 – 90";"";"cyclic immersion";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"10";"Fluororubber";"";"cyclohexanone";"pimelic ketone";"108-94-1";"C6H10O";"ketones";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
