sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Cellulose acetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"cellulose acetate";"polymers";"100";"0 – 212";"<2";"31,168,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"cellulose acetate";"polymers";"100";"0 – 212";"<2";"31,168";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"cellulose acetate";"polymers";"100";"0 – 212";"<2";"31,168,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"cellulose acetate";"polymers";"100";"0 – 212";"<2";"31,168,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"cellulose acetate";"polymers";"100";"25 – 225";"<20";"31,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"cellulose acetate";"polymers";"100";"25 – 125";"<2";"31,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"cellulose acetate";"polymers";"100";"25 – 125";"<2";"31,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"cellulose acetate";"polymers";"100";"25 – 225";"<20";"31,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"cellulose acetate";"polymers";"100";"25 – 75";"<20";"31,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"cellulose acetate";"polymers";"100";"25 – 225";"<20";"31,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper-Nickel";"cellulose acetate";"polymers";"100";"25 – 225";"<20";"31,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (12Cr)";"cellulose acetate";"polymers";"100";"25 – 75";"<2";"31,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (17Cr)";"cellulose acetate";"polymers";"100";"25 – 75";"<2";"31,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Duplex Stainless Steel (25-6-3)";"cellulose acetate";"polymers";"100";"0 – 212";"<2";"31,168";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Gold/ Platinum";"cellulose acetate";"polymers";"100";"25 – 225";"<2";"31,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Lead";"cellulose acetate";"polymers";"100";"25 – 225";"<20";"31,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
