sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Mercuric chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"mercuric chloride";"mercury chloride";"";"7487-94-7";"Cl2Hg";"salts";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Bisphenol A Fumarate Unsaturated Polyester";"fiberglass reinforced polyester (FRP)";"mercuric chloride";"mercury chloride";"";"7487-94-7";"Cl2Hg";"salts";"1";"recommended";">10";"75 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Cellulose Acetate";"";"mercuric chloride";"mercury chloride";"";"7487-94-7";"Cl2Hg";"salts";"3";"not recommended; weight gain";"5";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"mercuric chloride";"mercury chloride";"";"7487-94-7";"Cl2Hg";"salts";"1";"recommended";"100";"212";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"mercuric chloride";"mercury chloride";"";"7487-94-7";"Cl2Hg";"salts";"1";"recommended";"10";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"mercuric chloride";"mercury chloride";"";"7487-94-7";"Cl2Hg";"salts";"1";"recommended";"100";"212";"";"";"16";"";"";"";"";"";"";"";"";"";""
"7";"Chlorinated Polyvinyl Chloride (CPVC)";"";"mercuric chloride";"mercury chloride";"";"7487-94-7";"Cl2Hg";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 12";"";"";"";"";"";"";"";"";"";""
"8";"Chlorosulfonated Polyethylene";"";"mercuric chloride";"mercury chloride";"";"7487-94-7";"Cl2Hg";"salts";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"9";"Concrete";"";"mercuric chloride";"mercury chloride";"";"7487-94-7";"Cl2Hg";"salts";"3";"not recommended";"6";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Cements";"";"mercuric chloride";"mercury chloride";"";"7487-94-7";"Cl2Hg";"salts";"3";"not recommended";"5";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Cements";"";"mercuric chloride";"mercury chloride";"";"7487-94-7";"Cl2Hg";"salts";"3";"not recommended";"5";"140";"";"";"5";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Resin, Glass Fiber- Reinforced";"";"mercuric chloride";"mercury chloride";"";"7487-94-7";"Cl2Hg";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 24";"";"";"";"";"";"";"";"";"";""
"13";"Fluororubber";"";"mercuric chloride";"mercury chloride";"";"7487-94-7";"Cl2Hg";"salts";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"14";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"mercuric chloride";"mercury chloride";"";"7487-94-7";"Cl2Hg";"salts";"1";"recommended";"10 – 50";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"15";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"mercuric chloride";"mercury chloride";"";"7487-94-7";"Cl2Hg";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"16";"Glass, Chemical";"";"mercuric chloride";"mercury chloride";"";"7487-94-7";"Cl2Hg";"salts";"1";"recommended";"10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"17";"Nylon";"";"mercuric chloride";"mercury chloride";"";"7487-94-7";"Cl2Hg";"salts";"2";"questionable";"6";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
