sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hexane";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"hexane";"";"110-54-3";"C6H14";"hydrocarbons";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"hexane";"";"110-54-3";"C6H14";"hydrocarbons";"3";"not recommended; weight gain ";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"hexane";"";"110-54-3";"C6H14";"hydrocarbons";"3";"not recommended; weight gain ";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorinated Polyvinyl Chloride (CPVC)";"";"hexane";"";"110-54-3";"C6H14";"hydrocarbons";"1";"recommended";"100";"70 – 150";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorosulfonated Polyethylene";"";"hexane";"";"110-54-3";"C6H14";"hydrocarbons";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorosulfonated Polyethylene";"";"hexane";"";"110-54-3";"C6H14";"hydrocarbons";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Epoxy Resin, Glass Fiber- Reinforced";"";"hexane";"";"110-54-3";"C6H14";"hydrocarbons";"1";"recommended";"100";"70 – 100";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"8";"Epoxy Resin, Glass Fiber- Reinforced";"";"hexane";"";"110-54-3";"C6H14";"hydrocarbons";"2";"questionable";"100";"100 – 150";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"9";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"hexane";"";"110-54-3";"C6H14";"hydrocarbons";"1";"recommended; wets";"100";"60 – 70";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"10";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"hexane";"";"110-54-3";"C6H14";"hydrocarbons";"1";"recommended";"100";"70 – 90";"";"immersed, cyclic immersion";"1, 22";"";"";"";"";"";"";"";"";"";"";""
