sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Aniline hydrochloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"aniline hydrochloride";"benzenamine hydrochloride";"";"142-04-1";"C6H8ClN";"amino salts";"2";"questionable";">10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"aniline hydrochloride";"benzenamine hydrochloride";"";"142-04-1";"C6H8ClN";"amino salts";"3";"not recommended";">10";"150 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"aniline hydrochloride";"benzenamine hydrochloride";"saturated";"142-04-1";"C6H8ClN";"amino salts";"2";"questionable";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"aniline hydrochloride";"benzenamine hydrochloride";"";"142-04-1";"C6H8ClN";"amino salts";"3";"not recommended";"100";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Carbon-Graphite Composites";"";"aniline hydrochloride";"benzenamine hydrochloride";"";"142-04-1";"C6H8ClN";"amino salts";"1";"recommended";"10 – 60";"70 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorinated Polyvinyl Chloride (CPVC)";"";"aniline hydrochloride";"benzenamine hydrochloride";"";"142-04-1";"C6H8ClN";"amino salts";"3";"not recommended";"100";"70 – 212";"";"1, 2";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"aniline hydrochloride";"benzenamine hydrochloride";"saturated";"142-04-1";"C6H8ClN";"amino salts";"1";"recommended";">10";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"aniline hydrochloride";"benzenamine hydrochloride";"";"142-04-1";"C6H8ClN";"amino salts";"1";"recommended";"10";"200";">12";"10";"";"";"";"";"";"";"";"";"";"";""
"9";"Fluororubber";"";"aniline hydrochloride";"benzenamine hydrochloride";"saturated";"142-04-1";"C6H8ClN";"amino salts";"1";"recommended";">10";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Fluororubber";"";"aniline hydrochloride";"benzenamine hydrochloride";"";"142-04-1";"C6H8ClN";"amino salts";"2";"questionable";">10";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"aniline hydrochloride";"benzenamine hydrochloride";"";"142-04-1";"C6H8ClN";"amino salts";"1";"recommended";"100";"70 – 80";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"aniline hydrochloride";"benzenamine hydrochloride";"";"142-04-1";"C6H8ClN";"amino salts";"1";"recommended";">10";"70 – 250";">12";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Phenolic Resins, Asbestos-Reinforced";"";"aniline hydrochloride";"benzenamine hydrochloride";"";"142-04-1";"C6H8ClN";"amino salts";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Phenolic Resins, Asbestos-Reinforced";"";"aniline hydrochloride";"benzenamine hydrochloride";"";"142-04-1";"C6H8ClN";"amino salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Polychloroprene";"";"aniline hydrochloride";"benzenamine hydrochloride";"saturated";"142-04-1";"C6H8ClN";"amino salts";"3";"not recommended";"10";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyvinyl Chloride (PVC)";"";"aniline hydrochloride";"benzenamine hydrochloride";"";"142-04-1";"C6H8ClN";"amino salts";"2";"questionable; discolored, softened";"10";"125 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Polyvinyl Chloride (PVC)";"";"aniline hydrochloride";"benzenamine hydrochloride";"";"142-04-1";"C6H8ClN";"amino salts";"3";"not recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Rubber, Butyl (BR)";"";"aniline hydrochloride";"benzenamine hydrochloride";"saturated";"142-04-1";"C6H8ClN";"amino salts";"1";"recommended";"90";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Rubber, Natural (NR)";"";"aniline hydrochloride";"benzenamine hydrochloride";"";"142-04-1";"C6H8ClN";"amino salts";"1";"recommended";">10";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Rubber, Natural (NR)";"";"aniline hydrochloride";"benzenamine hydrochloride";"";"142-04-1";"C6H8ClN";"amino salts";"2";"questionable";">10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Rubber, Natural (NR)";"";"aniline hydrochloride";"benzenamine hydrochloride";"";"142-04-1";"C6H8ClN";"amino salts";"3";"not recommended";">10";"150 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
