sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acrylonitrile";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Lead";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Nickel (200)";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Nickel Cast Iron (15-35Ni)";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Nickel-Copper (400)";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Ni-Cr-Fe Alloy (600/ 690)";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
