sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chlorotoluidine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"chlorotoluidine";"aromatics";"hazardous!";"";"100";"25 – 75";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"chlorotoluidine";"aromatics";"";"stress corrosion cracking";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"chlorotoluidine";"aromatics";"";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper-Nickel";"chlorotoluidine";"aromatics";"";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (12Cr)";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Gold/ Platinum";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Lead";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel (200)";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel Cast Iron (15-35Ni)";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel-Copper (400)";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Ni-Cr-Fe Alloy (600/ 690)";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Ni-Mo Alloy (Ni-30Mo; B-2)";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Silicon Cast Iron (14Si)";"chlorotoluidine";"aromatics";"";"";"100";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Silver";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Steels, Carbon/ Low Alloy";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Superferritic Stainless Steel (26-1)";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Tantalum";"chlorotoluidine";"aromatics";"";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
