sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Allyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Epoxy Resin, Glass Fiber- Reinforced";"";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"1";"recommended";"100";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Epoxy Resin, Glass Fiber- Reinforced";"";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"3";"not recommended";"100";"100 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"1";"recommended";"20 – 40";"200";"<6";"";"10";"";"";"";"";"";"";"";"";"";"";""
"5";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"1";"recommended";"100";"70 – 90";"";"immersed, cyclic immersion";"1, 10";"";"";"";"";"";"";"";"";"";"";""
"6";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"1";"recommended; >12 months";"100";"150";"";"";"1, 10";"";"";"";"";"";"";"";"";"";"";""
"7";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"2";"questionable; >12 months";"100";"200";"";"";"1, 10";"";"";"";"";"";"";"";"";"";"";""
"8";"Nylon";"";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyesters, Glass Fiber-Reinforced";"";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"3";"not recommended";"10";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyethylene (PE)";"";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"2";"questionable";"100";"60 – 70";"";"plasticizer";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"11";"Polymethyl Methacrylate (PMMA)";"";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyvinyl Chloride (PVC)";"";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyvinylidene Fluoride (PVDF)";"Kynar";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"1";"recommended";"100";"70 – 200";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyvinylidene Fluoride (PVDF)";"";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"2";"questionable";"100";"200 – 220";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyvinylidene Fluoride (PVDF)";"";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"3";"not recommended";"100";"220 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"16";"Vinyl Ester Resins";"";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"1";"recommended";"10";"70 – 80";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
