sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Citric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"21";"Epoxy Resin, Glass Fiber- Reinforced";"";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"";"77-92-9";"C6H8O7";"organic (weak) acids";"1";"recommended";"20 – 30";"70 – 225";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"22";"Epoxy Resin, Glass Fiber- Reinforced";"";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"";"77-92-9";"C6H8O7";"organic (weak) acids";"1";"recommended; saturated, weight gain ";"100";"70 – 250";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"23";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"";"77-92-9";"C6H8O7";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";""
"24";"Fluororubber";"";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"";"77-92-9";"C6H8O7";"organic (weak) acids";"1";"recommended";"10";"70 – 150";"";"also ";"1";"";"";"";"";"";"";"";"";"";""
"25";"Fluororubber";"";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"saturated";"77-92-9";"C6H8O7";"organic (weak) acids";"1";"recommended";"10 – 90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"26";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"";"77-92-9";"C6H8O7";"organic (weak) acids";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"27";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"";"77-92-9";"C6H8O7";"organic (weak) acids";"1";"recommended";">10";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"28";"Glassed Steel";"";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"";"77-92-9";"C6H8O7";"organic (weak) acids";"1";"recommended";"0.5";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"29";"Glassed Steel";"";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"";"77-92-9";"C6H8O7";"organic (weak) acids";"1";"recommended";"100";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"30";"Nylon";"";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"";"77-92-9";"C6H8O7";"organic (weak) acids";"2";"questionable";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"31";"Nylon";"";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"";"77-92-9";"C6H8O7";"organic (weak) acids";"3";"not recommended";"50";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"32";"Phenolic Resins, Asbestos-Reinforced";"";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"";"77-92-9";"C6H8O7";"organic (weak) acids";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"33";"Polychloroprene";"";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"";"77-92-9";"C6H8O7";"organic (weak) acids";"1";"recommended";"<10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"34";"Polychloroprene";"";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"saturated";"77-92-9";"C6H8O7";"organic (weak) acids";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"35";"Polyesters, Glass Fiber-Reinforced";"";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"";"77-92-9";"C6H8O7";"organic (weak) acids";"1";"recommended";">10";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";""
"36";"Polyethylene (PE)";"";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"";"77-92-9";"C6H8O7";"organic (weak) acids";"1";"recommended; may stress crack";"10";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";""
"37";"Polyethylene (PE)";"";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"saturated";"77-92-9";"C6H8O7";"organic (weak) acids";"1";"recommended";"90";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";""
