sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Trichloroacetic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"3";"not recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cellulose Acetate";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"3";"not recommended; disintegrated";"1";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cellulose Acetate Butyrate";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"3";"not recommended; softened; weight gain";"1 – 5";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"<50";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorosulfonated Polyethylene";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"3";"not recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Chlorosulfonated Polyethylene";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Cements";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"1";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Epoxy Cements";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"1";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Epoxy Cements";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"3";"not recommended";"100";"68";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Epoxy Cements";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"3";"not recommended";"100";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended; do not use over 135°C (275°F) in contact with glass-lined equipment";"100";"250 – 275";">12";"";"10";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"100";"60 – 70";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"3";"not recommended; discolored, ";"100";"212 – 385";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Fluororubber";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"3";"not recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Fluororubber";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Furan Resins";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"100";"0 – 302";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"50";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Perfluoroalkoxy Resins";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended; strength loss; steady state reached in one week exposure";"100";"70 – 370";"<1";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Perfluoroalkoxy Resins";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended; weight gain, 196°C (385°F)";"100";"370 – 385";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Phenolic Resins";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"2";"questionable";"100";"0 – 302";"<6";"cN and CS";"5";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Phenolic Resins, Asbestos-Reinforced";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Polychloroprene";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"3";"not recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Polychloroprene";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Polyesters, Glass Fiber-Reinforced";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"10 – 50";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Polyethylene (PE)";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"100";"70 – 80";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Polyethylene (PE)";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"2";"questionable";"100";"80 – 125";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Polypropylene (PP)";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"10";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Polyvinyl Chloride (PVC)";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Polyvinylidene Fluoride (PVDF)";"Kynar";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"10";"70 – 200";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Polyvinylidene Fluoride (PVDF)";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"50";"70 – 125";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Polyvinylidene Fluoride (PVDF)";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"2";"questionable";"50";"125 – 200";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Polyvinylidene Fluoride (PVDF)";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"2";"questionable";"100";"70 – 150";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Rubber, Butyl (BR)";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Rubber, Butyl (BR)";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Rubber, Butyl (BR)";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Rubber, Natural (NR)";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Rubber, Natural (NR)";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Silicates";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"100";"0 – 302";"<6";"HB, HES, HFR, SWK";"5";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Vinyl Ester Resins";"";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"10 – 50";"70 – 210";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
