sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Calcium carbonate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"calcium carbonate";"";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"calcium carbonate";"";"salts";"1";"recommended";"any";"250";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorinated Polyvinyl Chloride (CPVC)";"";"calcium carbonate";"";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"calcium carbonate";"";"salts";"1";"recommended; over 3 years";">10";"75 – 275";">12";"slurry";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Glass Fiber- Reinforced";"";"calcium carbonate";"saturated";"salts";"1";"recommended";"100";"70 – 250";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"calcium carbonate";"";"salts";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyesters, Glass Fiber-Reinforced";"";"calcium carbonate";"";"salts";"1";"recommended";"100";"70 – 212";"";"dust";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyethylene (PE)";"";"calcium carbonate";"saturated";"salts";"1";"recommended";"10";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polymethyl Methacrylate (PMMA)";"";"calcium carbonate";"";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polypropylene (PP)";"";"calcium carbonate";"saturated";"salts";"1";"recommended";"10";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polypropylene (PP)";"";"calcium carbonate";"";"salts";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyvinyl Chloride (PVC)";"";"calcium carbonate";"";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyvinylidene Fluoride (PVDF)";"Kynar";"calcium carbonate";"";"salts";"1";"recommended";"100";"70 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Vinyl Ester Resins";"";"calcium carbonate";"";"salts";"1";"recommended";"100";"70 – 180";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
