sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethyl alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"51";"Polyphenylene Sulfide, Glass Fiber-Reinforced";"Ryton PPS R-4";"ethyl alcohol";"ethanol";"";"64-17-5";"C2H6O";"alcohols";"1";"recommended";"100";"170 – 200";"<6";"questionable if weight change";"18";"";"";"";"";"";"";"";"";"";""
"52";"Polypropylene (PP)";"";"ethyl alcohol";"ethanol";"";"64-17-5";"C2H6O";"alcohols";"1";"recommended";"96";"60 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"53";"Polysulfone";"";"ethyl alcohol";"ethanol";"";"64-17-5";"C2H6O";"alcohols";"1";"recommended";">90";"125 – 170";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"54";"Polyvinyl Chloride (PVC)";"";"ethyl alcohol";"ethanol";"";"64-17-5";"C2H6O";"alcohols";"1";"recommended; weight gain";"100";"70 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";""
"55";"Polyvinylidene Fluoride (PVDF)";"";"ethyl alcohol";"ethanol";"";"64-17-5";"C2H6O";"alcohols";"1";"recommended";"100";"70 – 275";"";"";"1, 23";"";"";"";"";"";"";"";"";"";""
"56";"Rubber, Butyl (BR)";"";"ethyl alcohol";"ethanol";"";"64-17-5";"C2H6O";"alcohols";"1";"recommended";"10 – 90";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"57";"Rubber, Butyl (BR)";"";"ethyl alcohol";"ethanol";"";"64-17-5";"C2H6O";"alcohols";"1";"recommended";"96";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"58";"Rubber, Butyl (BR)";"";"ethyl alcohol";"ethanol";"";"64-17-5";"C2H6O";"alcohols";"3";"not recommended";"96";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"59";"Rubber, Natural (NR)";"";"ethyl alcohol";"ethanol";"";"64-17-5";"C2H6O";"alcohols";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"60";"Rubber, Natural (NR)";"";"ethyl alcohol";"ethanol";"";"64-17-5";"C2H6O";"alcohols";"3";"not recommended";"100";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"61";"Styrene Acrylonitrile Copolymer (SAN)";"";"ethyl alcohol";"ethanol";"";"64-17-5";"C2H6O";"alcohols";"3";"not recommended";"30";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";""
"62";"Styrene Acrylonitrile Copolymer (SAN)";"";"ethyl alcohol";"ethanol";"";"64-17-5";"C2H6O";"alcohols";"3";"not recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";""
"63";"Vinyl Ester Resins";"";"ethyl alcohol";"ethanol";"";"64-17-5";"C2H6O";"alcohols";"1";"recommended";"10 – 95";"70 – 150";"";"";"7";"";"";"";"";"";"";"";"";"";""
"64";"Wood";"";"ethyl alcohol";"ethanol";"";"64-17-5";"C2H6O";"alcohols";"1";"recommended";"10 – 70";"70 – 90";"";"";"1";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
