sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethylene oxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"ethylene oxide";"oxirane";"";"75-21-8";"C2H4O";"ethers";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ethylene oxide";"oxirane";"";"75-21-8";"C2H4O";"ethers";"3";"not recommended";"100";"0 – 50";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ethylene oxide";"oxirane";"";"75-21-8";"C2H4O";"ethers";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate";"";"ethylene oxide";"oxirane";"";"75-21-8";"C2H4O";"ethers";"3";"not recommended; softened; swollen; weight gain";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Chlorosulfonated Polyethylene";"";"ethylene oxide";"oxirane";"liquid";"75-21-8";"C2H4O";"ethers";"1";"recommended";"100";"-4";"";"liquid";"1";"";"";"";"";"";"";"";"";"";""
"6";"Epoxy Resin, Glass Fiber- Reinforced";"";"ethylene oxide";"oxirane";"";"75-21-8";"C2H4O";"ethers";"3";"not recommended";"100";"70 – 150";"";"";"1, 24";"";"";"";"";"";"";"";"";"";""
"7";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"ethylene oxide";"oxirane";"";"75-21-8";"C2H4O";"ethers";"3";"not recommended";"any";"0 – 400";"<1";"";"10";"";"";"";"";"";"";"";"";"";""
"8";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"ethylene oxide";"oxirane";"";"75-21-8";"C2H4O";"ethers";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";""
"9";"Fluororubber";"";"ethylene oxide";"oxirane";"liquid";"75-21-8";"C2H4O";"ethers";"1";"recommended";"100";"25 – 50";"";"";"1";"";"";"";"";"";"";"";"";"";""
"10";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"ethylene oxide";"oxirane";"";"75-21-8";"C2H4O";"ethers";"1";"recommended";"100";"50 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"11";"Polychloroprene";"";"ethylene oxide";"oxirane";"liquid";"75-21-8";"C2H4O";"ethers";"1";"recommended";"100";"-4";"";"liquid";"1";"";"";"";"";"";"";"";"";"";""
"12";"Polyethylene (PE)";"";"ethylene oxide";"oxirane";"";"75-21-8";"C2H4O";"ethers";"2";"questionable";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";""
"13";"Polypropylene (PP)";"";"ethylene oxide";"oxirane";"liquid";"75-21-8";"C2H4O";"ethers";"2";"questionable";"100";"50 – 70";"<6";"liquid";"1";"";"";"";"";"";"";"";"";"";""
"14";"Polyvinyl Chloride (PVC)";"";"ethylene oxide";"oxirane";"";"75-21-8";"C2H4O";"ethers";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"15";"Rubber, Butyl (BR)";"";"ethylene oxide";"oxirane";"liquid";"75-21-8";"C2H4O";"ethers";"3";"not recommended";"10";"-4";"";"liquid";"1";"";"";"";"";"";"";"";"";"";""
"16";"Rubber, Natural (NR)";"";"ethylene oxide";"oxirane";"";"75-21-8";"C2H4O";"ethers";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
