sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Trimethylamine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Silicon Cast Iron (14Si)";"trimethylamine";"methanamine, N,N-dimethyl-";"75-50-3";"C3H9N";"amines";"";"5 – 35";"52 – 237";"<2";"217,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Silicon Cast Iron (14Si)";"trimethylamine";"methanamine, N,N-dimethyl-";"75-50-3";"C3H9N";"amines";"";"100";"52 – 237";"<20";"217,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Silver";"trimethylamine";"methanamine, N,N-dimethyl-";"75-50-3";"C3H9N";"amines";"hazardous!";"";"0";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Steels, Carbon/ Low Alloy";"trimethylamine";"methanamine, N,N-dimethyl-";"75-50-3";"C3H9N";"amines";"";"5 – 45";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Steels, Carbon/ Low Alloy";"trimethylamine";"methanamine, N,N-dimethyl-";"75-50-3";"C3H9N";"amines";"";"100";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Superferritic Stainless Steel (26-1)";"trimethylamine";"methanamine, N,N-dimethyl-";"75-50-3";"C3H9N";"amines";"";"5 – 45";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Superferritic Stainless Steel (26-1)";"trimethylamine";"methanamine, N,N-dimethyl-";"75-50-3";"C3H9N";"amines";"";"100";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
