sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Polypropylene (PP)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"11";"Polypropylene (PP)";"acetonitrile";"methyl cyanide";"";"1975-05-08";"C2H3N";"nitriles";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Polypropylene (PP)";"acetophenone";"methyl phenyl ketone";"";"98-86-2";"C8H8O";"ketones";"2";"questionable";"100";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Polypropylene (PP)";"acetophenone";"methyl phenyl ketone";"";"98-86-2";"C8H8O";"ketones";"3";"not recommended";"100";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Polypropylene (PP)";"acetylene";"ethyne";"";"74-86-2";"C2H2";"hydrocarbons";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Polypropylene (PP)";"acriflavine";"";"";"";"";"pharmaceuticals";"1";"recommended";"2";"60 – 175";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Polypropylene (PP)";"acrylic acid emulsion";"";"";"";"";"polymers";"1";"recommended";"100";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Polypropylene (PP)";"acrylonitrile";"propenenitrile";"";"107-13-1";"C3H3N";"nitriles";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Polypropylene (PP)";"air";"";"";"";"";"gases";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Polypropylene (PP)";"almond oil";"";"";"";"";"essential oils";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Polypropylene (PP)";"aluminum ammonium sulfate";"ammonium alum";"";"7784-25-0";"AlH4NO8S2";"salts";"1";"recommended";"100";"60 – 212";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Polypropylene (PP)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"1";"recommended";"10";"70 – 100";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Polypropylene (PP)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"1";"recommended";"70";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"23";"Polypropylene (PP)";"aluminum fluoride";"aluminum trifluoride";"";"7784-18-1";"AlF3";"salts";"1";"recommended";"10";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"24";"Polypropylene (PP)";"aluminum hydroxide";"bayerite";"";"21645-51-2";"AlH3O3";"hydroxides";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"25";"Polypropylene (PP)";"aluminum nitrate";"";"";"";"";"salts";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"26";"Polypropylene (PP)";"aluminum potassium sulfate";"potassium aluminum sulfate";"";"10043-67-1";"AlKO8S2";"salts";"1";"recommended";"100";"60 – 212";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"27";"Polypropylene (PP)";"aluminum sulfate";"alunogenite";"";"10043-01-3";"Al2O12S3";"salts";"1";"recommended";"100";"60 – 212";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"28";"Polypropylene (PP)";"ammonia";"";"";"7664-41-7";"H3N";"bases";"1";"recommended";"30";"60 – 150";"<6";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"29";"Polypropylene (PP)";"ammonia";"";"";"7664-41-7";"H3N";"bases";"1";"recommended";"100";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"30";"Polypropylene (PP)";"ammonium acetate";"";"";"631-61-8";"C2H7NO2";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
