sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acetylene chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"acetylene chloride";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"acetylene chloride";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"acetylene chloride";"halogenated aliphatics";"hazardous!";"";"100";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"acetylene chloride";"halogenated aliphatics";"";"pitting";"100";"25 – 75";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"acetylene chloride";"halogenated aliphatics";"";"";"100";"175 – 225";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acetylene chloride";"halogenated aliphatics";"";"pitting";"100";"25 – 75";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"acetylene chloride";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper/ Bronze/ Low Brass";"acetylene chloride";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cr Stainless Steel (12Cr)";"acetylene chloride";"halogenated aliphatics";"";"pitting";"100";"175 – 225";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cr Stainless Steel (17Cr)";"acetylene chloride";"halogenated aliphatics";"";"pitting";"100";"175 – 225";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
