sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Beet sugar liquor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"beet sugar liquor";"foods & beverages";"1";"recommended";"100";"70 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorinated Polyvinyl Chloride (CPVC)";"";"beet sugar liquor";"foods & beverages";"1";"recommended";"100";"70 – 212";"1, 2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorosulfonated Polyethylene";"";"beet sugar liquor";"foods & beverages";"1";"recommended";"100";"70 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Polyesters, Glass Fiber-Reinforced";"";"beet sugar liquor";"foods & beverages";"1";"recommended";"100";"70 – 90";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Polyvinyl Chloride (PVC)";"";"beet sugar liquor";"foods & beverages";"1";"recommended";"100";"70 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"beet sugar liquor";"foods & beverages";"1";"recommended";"100";"150";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Vinyl Ester Resins";"";"beet sugar liquor";"foods & beverages";"1";"recommended";"100";"70 – 180";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
