sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Manganese sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"<40";"230";"<2";"boiling point";"183,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"15 – 25";"25 – 225";"<2";"";"183,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"15 – 50";"25 – 75";"<2";"";"183,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-6Mo (254SMO/ 6XN)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"<40";"230";"<2";"boiling point";"183";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"<40";"230";"<2";"boiling point";"183,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 50";"25 – 225";"<2";"";"183,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"<40";"230";"<2";"boiling point";"183,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 50";"25 – 225";"<2";"";"183,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 50";"125 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"15 – 50";"25 – 125";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 50";"25 – 75";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 50";"125 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"15 – 50";"75 – 125";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Brass (>15Zn)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 50";"25 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cast Iron, Gray/ Ductile";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 35";"25 – 75";"<20";"";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cast Iron, Gray/ Ductile";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"15 – 35";"175 – 225";"20 – 50";"";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Copper/ Bronze/ Low Brass";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 25";"25 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Copper/ Bronze/ Low Brass";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 50";"175 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Copper/ Bronze/ Low Brass";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"15 – 25";"225 – 475";"<20";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Copper/ Bronze/ Low Brass";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"35 – 45";"25 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
